partei_id;wahlkreis_id;jahr;anzahl
1;1;2021;36421
2;1;2021;45508
4;1;2021;19189
6;1;2021;33300
3;1;2021;10317
5;1;2021;7475
9;1;2021;1844
8;1;2021;1715
13;1;2021;132
18;1;2021;12
28;1;2021;2866
21;1;2021;40
26;1;2021;118
24;1;2021;157
10;1;2021;1990
37;1;2021;16415
38;1;2021;318
40;1;2021;403
14;1;2021;194
1;2;2021;35511
2;2;2021;37926
4;2;2021;18350
6;2;2021;22588
3;2;2021;8798
5;2;2021;4437
9;2;2021;1322
8;2;2021;1081
13;2;2021;121
18;2;2021;26
28;2;2021;1836
21;2;2021;33
26;2;2021;59
24;2;2021;130
10;2;2021;1604
37;2;2021;9516
38;2;2021;239
40;2;2021;237
14;2;2021;125
1;3;2021;32842
2;3;2021;37468
4;3;2021;18492
6;3;2021;19237
3;3;2021;11303
5;3;2021;4524
9;3;2021;1346
8;3;2021;1713
13;3;2021;105
18;3;2021;25
28;3;2021;1712
21;3;2021;29
26;3;2021;77
24;3;2021;118
10;3;2021;1719
37;3;2021;3366
38;3;2021;283
40;3;2021;226
14;3;2021;250
1;4;2021;38517
2;4;2021;43148
4;4;2021;19322
6;4;2021;28828
3;4;2021;10564
5;4;2021;5163
9;4;2021;1618
8;4;2021;1174
13;4;2021;122
18;4;2021;33
28;4;2021;2375
21;4;2021;23
26;4;2021;69
24;4;2021;136
10;4;2021;1728
37;4;2021;7304
38;4;2021;244
40;4;2021;253
14;4;2021;127
1;5;2021;23920
2;5;2021;40338
4;5;2021;16110
6;5;2021;44089
3;5;2021;7654
5;5;2021;9430
9;5;2021;2185
8;5;2021;954
13;5;2021;116
18;5;2021;39
28;5;2021;1924
21;5;2021;88
26;5;2021;114
24;5;2021;299
10;5;2021;1676
37;5;2021;4486
38;5;2021;747
40;5;2021;556
14;5;2021;171
1;6;2021;30290
2;6;2021;38670
4;6;2021;15901
6;6;2021;23051
3;6;2021;9741
5;6;2021;4232
9;6;2021;1300
8;6;2021;1275
13;6;2021;94
18;6;2021;23
28;6;2021;2007
21;6;2021;34
26;6;2021;70
24;6;2021;111
10;6;2021;1446
37;6;2021;3203
38;6;2021;415
40;6;2021;230
14;6;2021;98
1;7;2021;42057
2;7;2021;55693
4;7;2021;25663
6;7;2021;34291
3;7;2021;13080
5;7;2021;6363
9;7;2021;1805
8;7;2021;1731
13;7;2021;202
18;7;2021;21
28;7;2021;2389
21;7;2021;59
26;7;2021;127
24;7;2021;182
10;7;2021;2320
37;7;2021;2527
38;7;2021;799
40;7;2021;457
14;7;2021;208
1;8;2021;44285
2;8;2021;56658
4;8;2021;27675
6;8;2021;33361
3;8;2021;14527
5;8;2021;6468
9;8;2021;2226
8;8;2021;2297
13;8;2021;194
18;8;2021;30
28;8;2021;2839
21;8;2021;54
26;8;2021;119
24;8;2021;186
10;8;2021;2663
37;8;2021;3108
38;8;2021;586
40;8;2021;509
14;8;2021;202
1;9;2021;35564
2;9;2021;42520
4;9;2021;17986
6;9;2021;22314
3;9;2021;10073
5;9;2021;4036
9;9;2021;1104
8;9;2021;1603
13;9;2021;102
18;9;2021;13
28;9;2021;1691
21;9;2021;28
26;9;2021;65
