nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Abaga Ayingono;Carlos;1953;EB: Abaga Ayingono 129; 129;;;2017
Abdinghoff-Feldkemper;Olaf;1964;SPD;;Niedersachsen;;2017
Abel;Valentin Christian;1991;FDP;268;Baden-Württemberg;23;2017
Abelmann;Jürgen;1958;DIE LINKE;33;;;2017
Dr. von Abercron;Michael;1952;CDU;7;Schleswig-Holstein;10;2017
Abmayr;Ruth Maria;1968;FREIE WÄHLER;252;Bayern;22;2017
Achelwilm;Doris Maria;1976;DIE LINKE;;Bremen;;2017
Achenbach;Ulrich;1954;MLPD;;Nordrhein-Westfalen;;2017
Achilles;Matthias;1991;PIRATEN;87;;;2017
Achtziger;Alina Christiane;1999;Die PARTEI;;Bayern;;2017
Acker;Reinmund Adam Johannes;1949;BGE;;Bayern;;2017
Dr. Ackermann;Lothar;1953;FDP;201;Rheinland-Pfalz;11;2017
Ackmann;Petra;1966;SPD;;Hamburg;;2017
Adamski;Klaus Jürgen;1952;MLPD;;Hamburg;;2017
Adamski;Yvonne;1978;MLPD;121;;;2017
Adelsberger;Eric;1990;Die PARTEI;14;Mecklenburg-Vorpommern;1;2017
Affani;Nadia;1976;SPD;;Niedersachsen;;2017
Agena;Garrelt Itzen;1955;GRÜNE;24;Niedersachsen;14;2017
Aggelidis;Grigorios;1965;FDP;43;Niedersachsen;3;2017
Agu;Diyar;1999;DIE LINKE;99;Nordrhein-Westfalen;24;2017
Ahrends;Marco;1982;Die PARTEI;;Berlin;;2017
Ahrens;Martin;1977;SPD;;Schleswig-Holstein;;2017
Ahrens;Petra;1969;DM;;Bayern;;2017
Ahrens;Thorsten;1968;DIE LINKE;157;;;2017
Aicher;Julian;1958;ÖDP;;Baden-Württemberg;;2017
Aiwanger;Hubert;1971;FREIE WÄHLER;228;Bayern;1;2017
Akbulut;Gökay;1982;DIE LINKE;275;Baden-Württemberg;3;2017
Akcur;Mehmet;1975;DiB;;Niedersachsen;;2017
Aktürk;Erhan;1965;MLPD;;Nordrhein-Westfalen;;2017
Al Basri;Saif;1989;Gesundheitsforschung;;Nordrhein-Westfalen;;2017
Al Dailami;Ali Abass Yahya;1981;DIE LINKE;173;;;2017
Dr. Albach;Rolf William;1963;FDP;101;Nordrhein-Westfalen;26;2017
Albani;Stephan;1968;CDU;27;Niedersachsen;6;2017
Albers;Bernhard;1969;BGE;;Baden-Württemberg;;2017
Albert;Joachim;1958;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Alberti;Manfred;1947;Die PARTEI;;Hamburg;;2017
Albrecht;Frank;1967;FDP;116;Nordrhein-Westfalen;22;2017
Prof. Albrecht;Erich Willy;1950;AfD;;Hessen;;2017
Albsteiger;Katrin;1983;CSU;;Bayern;;2017
Aldenhoven;Christina Flora;1983;ÖDP;;Nordrhein-Westfalen;;2017
Alff;Daniel;1977;SPD;;Mecklenburg-Vorpommern;;2017
Al-Hassan;Fares;1978;B*;83;;;2017
Alias;Mazhar Hasan;1974;MLPD;125;Nordrhein-Westfalen;13;2017
Allgayer-Reetze;Patricia Erika;1956;AfD;;Niedersachsen;;2017
Alloussi;Dyria;1980;du.;;Berlin;;2017
Alscher;Sebastian;1976;PIRATEN;183;Hessen;1;2017
Alt;Renata;1965;FDP;262;Baden-Württemberg;7;2017
Altenkamp;Norbert Maria;1972;CDU;181;Hessen;21;2017
Altmaier;Peter;1958;CDU;297;Saarland;1;2017
Altmann;Peter;1969;Die PARTEI;;Baden-Württemberg;;2017
Amann;Harold;1967;BP;;Bayern;;2017
Amann;Dieter;1962;AfD;278;;;2017
Ametsbichler;Tobias;1970;DiB;;Bayern;;2017
Ammermann;Rainer;1971;BGE;;Hamburg;;2017
Amoozegar;Nick Papak;1990;DIE LINKE;174;Hessen;6;2017
Amthor;Philipp;1992;CDU;16;Mecklenburg-Vorpommern;6;2017
Amtsberg;Luise;1984;GRÜNE;5;Schleswig-Holstein;1;2017
Anders;Kathrin;1982;GRÜNE;177;;;2017
Anderson;Christine;1968;AfD;178;Hessen;12;2017
Andre;Harald;1949;MLPD;258;Baden-Württemberg;4;2017
Andreae;Kerstin;1968;GRÜNE;281;Baden-Württemberg;1;2017
Andrejewski;Michael;1959;NPD;16;Mecklenburg-Vorpommern;2;2017
Angenendt;Jürgen;1958;SPD;;Nordrhein-Westfalen;;2017
von Angern;Eva;1976;DIE LINKE;69;Sachsen-Anhalt;5;2017
Angerstein;Nicole;1973;MG;;Sachsen-Anhalt;;2017
Prinz von Anhalt Dessau;Constantin Leopold;1947;AfD;223;;;2017
Anhorn;Jens;1980;AfD;;Baden-Württemberg;;2017
Annen;Niels;1973;SPD;20;Hamburg;4;2017
Anschütz;Elisabeth;1962;GRÜNE;97;Nordrhein-Westfalen;27;2017
Ansin;Rebecca;1989;Die PARTEI;;Baden-Württemberg;;2017
Anspach-Papa;Kornelia;1961;CDU;;Saarland;;2017
Antrup;Carsten;1969;FDP;128;Nordrhein-Westfalen;27;2017
Apel;Rainer Karl-Heinz Hans-Helmut;1948;BüSo;;Hessen;;2017
Dr. Appelt;Andreas Michael Otto;1951;AfD;148;;;2017
Applegate;Philipp;1988;DIE LINKE;;Nordrhein-Westfalen;;2017
Appoh;Mark Adrian;1985;BGE;;Hessen;;2017
Araki;Chaker;1972;MLPD;78;Berlin;2;2017
Archner;Roman;1980;Die PARTEI;81;Berlin;68;2017
Arend-Langenbach;Kerstin;1971;CDU;;Rheinland-Pfalz;;2017
Arens;Marianne;1952;SGP;182;;;2017
Arenz;Udo Peter;1964;ÖDP;;Hessen;;2017
Aretz;Henning;1956;CDU;;Nordrhein-Westfalen;;2017
Arifi;Krenar;1964;V-Partei³;;Bayern;;2017
Armbrüster;Ralf;1970;FDP;;Saarland;;2017
Arndt;Hans;1957;FREIE WÄHLER;207;Rheinland-Pfalz;9;2017
Arndt;Klaus Joachim;1966;ÖDP;;Niedersachsen;;2017
Arndt;Helena;1982;Die PARTEI;;Niedersachsen;;2017
Arndt;Alfred Jakob;1949;DKP;;Hessen;;2017
Arndt-Brauer;Ingrid;1961;SPD;124;Nordrhein-Westfalen;14;2017
Arnecke;Dagmar;1951;MLPD;86;;;2017
Arnold;Alexander;1991;FDP;238;Bayern;46;2017
Arnold;Bendrick;1946;MLPD;247;Bayern;17;2017
Arpaschi;Alexander;1970;AfD;272;;;2017
Aschenbach;Maximilian Bernd;1985;Die PARTEI;;Sachsen;;2017
Aschenberg-Dugnus;Christine;1959;FDP;4;Schleswig-Holstein;3;2017
Dr. Aschenbrenner;Doris;1985;SPD;238;Bayern;28;2017
Aschenbrenner;Arnold;1951;MLPD;216;;;2017
Assenmacher;Adrian;1989;FDP;203;Rheinland-Pfalz;14;2017
Aßmann;Mario;1964;AfD;;Sachsen;;2017
Ates;Özden;1970;DIE LINKE;115;Nordrhein-Westfalen;21;2017
Ates;Zeki;1962;EB: Ates 282; 282;;;2017
Auerbach;Kerstin;1969;DIE LINKE;67;;;2017
Auerbach;Martin;1976;DIE LINKE;261;;;2017
Auernhammer;Artur;1963;CSU;241;Bayern;38;2017
Augspurger;Helmut;1956;Die PARTEI;;Baden-Württemberg;;2017
Augustin;Dennis;1970;AfD;12;Mecklenburg-Vorpommern;4;2017
Aulenbacher;Susanne;1958;MLPD;;Saarland;;2017
Aulila;Marcel;1991;FDP;285;Baden-Württemberg;17;2017
Aumeier;Frank;1975;FREIE WÄHLER;234;Bayern;11;2017
Aumer;Peter;1976;CSU;233;;;2017
Auricht;Jeannette;1970;AfD;85;;;2017
Außendorf;Maik;1971;GRÜNE;100;Nordrhein-Westfalen;24;2017
Aust;Robert Paul;1962;AfD;;Bayern;;2017
Austria-Zink;Hans Günter;1945;Volksabstimmung;;Nordrhein-Westfalen;;2017
Avenarius;Christian Richard;1959;SPD;159;Sachsen;11;2017
Aydin;Tufan;1988;MLPD;113;;;2017
Aykal;Urban;1974;GRÜNE;79;;;2017
Azbak;Sahin;1968;MENSCHLICHE WELT;81;Berlin;1;2017
Babenhauserheide;Maik;1975;GRÜNE;133;;;2017
Babic;Safet;1981;NPD;203;;;2017
Babnik;Jan-Peter;1968;EB: Babnik 199; 199;;;2017
Bach;Bela;1990;SPD;221;Bayern;20;2017
Bach;Sebastian Freimund;1982;DIE LINKE;;Thüringen;;2017
Bacherle;Tobias;1994;GRÜNE;260;Baden-Württemberg;18;2017
Bachmann;Iris Margot;1947;GRÜNE;;Hessen;;2017
Bäckel;Markus;1970;FREIE WÄHLER;;Hessen;;2017
Bader;Jürgen Albert Richard;1960;MLPD;23;Hamburg;7;2017
Bader;Werner;1942;FREIE WÄHLER;96;;;2017
Badra;Susanne Mervat;1991;GRÜNE;110;;;2017
Badran;Bastian;1979;Die PARTEI;77;;;2017
Badum;Lisa Hildegard;1983;GRÜNE;236;Bayern;11;2017
Baehrens;Heike;1955;SPD;263;Baden-Württemberg;13;2017
Baerbock;Annalena;1980;GRÜNE;61;Brandenburg;1;2017
Bahl;Sascha;1976;DIE LINKE;188;;;2017
Bahr;Ulrike;1964;SPD;252;Bayern;4;2017
Bähr-Losse;Bettina;1967;SPD;98;Nordrhein-Westfalen;42;2017
Baier;Robert;1968;FREIE WÄHLER;152;;;2017
Bakker;Notker Heinrich Dieter;1965;Die Humanisten;;Nordrhein-Westfalen;;2017
Balci;Fatma;1983;ADD;;Nordrhein-Westfalen;;2017
Baldes;Franziska;1969;MLPD;;Hamburg;;2017
Balg;Torsten;1971;ÖDP;;Rheinland-Pfalz;;2017
Balke;Ralf Peter;1963;Die PARTEI;55;Bremen;5;2017
Balleis;Martin;1959;BP;;Bayern;;2017
Ballerstädt;Kay-Olaf;1980;FREIE WÄHLER;277;Baden-Württemberg;11;2017
Ballin;August Wilhelm;1951;DKP;;Bayern;;2017
Ballschuh;Tim;1990;AfD;;Sachsen-Anhalt;;2017
Balzer;Manfred;1962;Die PARTEI;;Niedersachsen;;2017
Banaszak;Felix;1989;GRÜNE;116;;;2017
Bandt;Sebastian;1985;Die PARTEI;;Nordrhein-Westfalen;;2017
Dr. Bank;Sabine Barbara;1954;FREIE WÄHLER;;Mecklenburg-Vorpommern;;2017
Dr. von der Bank;Ralf Sebastian;1964;FREIE WÄHLER;62;;;2017
Bänsch;Knut;1961;PIRATEN;;Hessen;;2017
Bär;Karl;1985;GRÜNE;223;Bayern;12;2017
Bär;Dorothee;1978;CSU;248;Bayern;3;2017
Baradari;Nezahat;1965;SPD;149;Nordrhein-Westfalen;18;2017
Baranski;Robin;1977;SPD;;Nordrhein-Westfalen;;2017
Barbig;Paul Emil;1995;SPD;;Rheinland-Pfalz;;2017
Bareiß;Thomas;1975;CDU;295;;;2017
Barimis;Michel;1987;MLPD;;Bayern;;2017
Dr. Barley;Katarina;1968;SPD;203;Rheinland-Pfalz;3;2017
