kurzbezeichnung;wahlkreis_id;jahr;anzahl
CDU;1;2017;68120
SPD;1;2017;47711
GRÜNE;1;2017;17911
FDP;1;2017;11147
DIE LINKE;1;2017;12144
AfD;1;2017;10583
NPD;1;2017;0
FREIE WÄHLER;1;2017;1947
MLPD;1;2017;0
BGE;1;2017;0
ÖDP;1;2017;0
Die PARTEI;1;2017;0
EB: Krüger-Winands;1;2017;755
Tierschutzpartei;1;2017;0
PIRATEN;1;2017;0
CDU;2;2017;62256
SPD;2;2017;34685
GRÜNE;2;2017;13026
FDP;2;2017;11105
DIE LINKE;2;2017;7102
AfD;2;2017;8117
NPD;2;2017;0
FREIE WÄHLER;2;2017;1606
MLPD;2;2017;0
BGE;2;2017;0
ÖDP;2;2017;0
Die PARTEI;2;2017;0
Tierschutzpartei;2;2017;0
PIRATEN;2;2017;0
CDU;3;2017;54812
SPD;3;2017;34219
GRÜNE;3;2017;8791
FDP;3;2017;14440
DIE LINKE;3;2017;7176
AfD;3;2017;10006
NPD;3;2017;0
FREIE WÄHLER;3;2017;1278
MLPD;3;2017;161
BGE;3;2017;0
ÖDP;3;2017;0
Die PARTEI;3;2017;0
Tierschutzpartei;3;2017;0
PIRATEN;3;2017;0
CDU;4;2017;66625
SPD;4;2017;45070
GRÜNE;4;2017;13978
FDP;4;2017;10077
DIE LINKE;4;2017;8074
AfD;4;2017;10656
NPD;4;2017;0
FREIE WÄHLER;4;2017;1622
MLPD;4;2017;0
BGE;4;2017;0
ÖDP;4;2017;0
Die PARTEI;4;2017;0
Tierschutzpartei;4;2017;0
PIRATEN;4;2017;0
CDU;5;2017;46560
SPD;5;2017;46991
GRÜNE;5;2017;21743
FDP;5;2017;11363
DIE LINKE;5;2017;11114
AfD;5;2017;9283
NPD;5;2017;0
FREIE WÄHLER;5;2017;0
MLPD;5;2017;266
BGE;5;2017;0
ÖDP;5;2017;0
Die PARTEI;5;2017;4017
Neue Liberale;5;2017;342
Tierschutzpartei;5;2017;0
PIRATEN;5;2017;0
CDU;6;2017;53109
SPD;6;2017;37728
GRÜNE;6;2017;11736
FDP;6;2017;9379
DIE LINKE;6;2017;7009
AfD;6;2017;10223
NPD;6;2017;0
FREIE WÄHLER;6;2017;1305
MLPD;6;2017;0
BGE;6;2017;0
ÖDP;6;2017;0
Die PARTEI;6;2017;0
Tierschutzpartei;6;2017;0
PIRATEN;6;2017;0
CDU;7;2017;73816
SPD;7;2017;56460
GRÜNE;7;2017;15379
FDP;7;2017;14441
DIE LINKE;7;2017;11270
AfD;7;2017;14729
NPD;7;2017;0
FREIE WÄHLER;7;2017;0
MLPD;7;2017;0
BGE;7;2017;0
ÖDP;7;2017;0
Die PARTEI;7;2017;0
Tierschutzpartei;7;2017;0
PIRATEN;7;2017;0
CDU;8;2017;78824
SPD;8;2017;52434
GRÜNE;8;2017;16004
FDP;8;2017;15617
DIE LINKE;8;2017;10838
AfD;8;2017;15682
NPD;8;2017;0
FREIE WÄHLER;8;2017;2373
MLPD;8;2017;0
BGE;8;2017;0
ÖDP;8;2017;0
Die PARTEI;8;2017;0
Tierschutzpartei;8;2017;0
PIRATEN;8;2017;0
CDU;9;2017;56996
SPD;9;2017;42232
GRÜNE;9;2017;9539
FDP;9;2017;10047
DIE LINKE;9;2017;6062
AfD;9;2017;10790
NPD;9;2017;0
FREIE WÄHLER;9;2017;1117
MLPD;9;2017;0
BGE;9;2017;0
ÖDP;9;2017;0
Die PARTEI;9;2017;0
FAMILIE;9;2017;506
Tierschutzpartei;9;2017;0
PIRATEN;9;2017;0
CDU;10;2017;75737
SPD;10;2017;52171
GRÜNE;10;2017;18688
FDP;10;2017;15775
DIE LINKE;10;2017;9785
AfD;10;2017;17435
NPD;10;2017;0
FREIE WÄHLER;10;2017;2174
MLPD;10;2017;0
BGE;10;2017;0
ÖDP;10;2017;0
Die PARTEI;10;2017;0
Tierschutzpartei;10;2017;0
PIRATEN;10;2017;0
CDU;11;2017;45432
SPD;11;2017;43578
GRÜNE;11;2017;16785
FDP;11;2017;8312
DIE LINKE;11;2017;0
AfD;11;2017;11137
NPD;11;2017;0
FREIE WÄHLER;11;2017;2535
MLPD;11;2017;954
BGE;11;2017;0
ÖDP;11;2017;0
Die PARTEI;11;2017;0
Tierschutzpartei;11;2017;0
PIRATEN;11;2017;0
CDU;12;2017;49733
DIE LINKE;12;2017;26655
SPD;12;2017;34267
AfD;12;2017;24764
GRÜNE;12;2017;5837
NPD;12;2017;1515
FDP;12;2017;7470
FREIE WÄHLER;12;2017;3874
MLPD;12;2017;440
BGE;12;2017;0
ÖDP;12;2017;0
Die PARTEI;12;2017;0
Tierschutzpartei;12;2017;0
EB: Stoof;12;2017;547
PIRATEN;12;2017;0
CDU;13;2017;43453
DIE LINKE;13;2017;23433
SPD;13;2017;34705
AfD;13;2017;25262
GRÜNE;13;2017;5858
NPD;13;2017;1264
FDP;13;2017;8290
FREIE WÄHLER;13;2017;2573
MLPD;13;2017;0
BGE;13;2017;0
ÖDP;13;2017;0
Die PARTEI;13;2017;0
Tierschutzpartei;13;2017;0
PIRATEN;13;2017;0
CDU;14;2017;47923
DIE LINKE;14;2017;40202
SPD;14;2017;29056
AfD;14;2017;23785
GRÜNE;14;2017;8333
NPD;14;2017;0
FDP;14;2017;7368
FREIE WÄHLER;14;2017;1453
MLPD;14;2017;396
BGE;14;2017;0
ÖDP;14;2017;591
Die PARTEI;14;2017;3132
Tierschutzpartei;14;2017;0
PIRATEN;14;2017;0
CDU;15;2017;73746
DIE LINKE;15;2017;26650
SPD;15;2017;19515
AfD;15;2017;32173
GRÜNE;15;2017;5081
NPD;15;2017;976
FDP;15;2017;5229
FREIE WÄHLER;15;2017;1576
MLPD;15;2017;407
BGE;15;2017;0
ÖDP;15;2017;0
Die PARTEI;15;2017;0
Tierschutzpartei;15;2017;2161
EB: Tschammer-Osten;15;2017;148
PIRATEN;15;2017;0
CDU;16;2017;48269
DIE LINKE;16;2017;29462
SPD;16;2017;21493
AfD;16;2017;36273
GRÜNE;16;2017;3898
NPD;16;2017;2834
FDP;16;2017;8909
FREIE WÄHLER;16;2017;1991
MLPD;16;2017;0
BGE;16;2017;0
ÖDP;16;2017;0
Die PARTEI;16;2017;1499
Tierschutzpartei;16;2017;0
PIRATEN;16;2017;0
CDU;17;2017;53538
DIE LINKE;17;2017;24728
SPD;17;2017;22401
AfD;17;2017;26199
GRÜNE;17;2017;4739
NPD;17;2017;1388
FDP;17;2017;6633
FREIE WÄHLER;17;2017;2327
MLPD;17;2017;423
BGE;17;2017;0
ÖDP;17;2017;0
Die PARTEI;17;2017;0
Tierschutzpartei;17;2017;0
PIRATEN;17;2017;0
SPD;18;2017;53795
CDU;18;2017;42149
GRÜNE;18;2017;22368
DIE LINKE;18;2017;24083
FDP;18;2017;11202
AfD;18;2017;12728
NPD;18;2017;316
Die PARTEI;18;2017;4929
FREIE WÄHLER;18;2017;1038
ÖDP;18;2017;1090
MLPD;18;2017;317
BGE;18;2017;0
DiB;18;2017;0
DKP;18;2017;0
Tierschutzpartei;18;2017;0
V-Partei³;18;2017;0
PIRATEN;18;2017;0
SPD;19;2017;41947
CDU;19;2017;37575
GRÜNE;19;2017;20817
DIE LINKE;19;2017;19704
