vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Carlos;Abaga Ayingono;1953;EB: Abaga Ayingono;129;-1;-1;;;;;2017
Olaf;Abdinghoff-Feldkemper;1964;SPD;-1;Niedersachsen;33;;;;;2017
Valentin Christian;Abel;1991;FDP;268;Baden-Württemberg;23;;;;;2017
Jürgen;Abelmann;1958;DIE LINKE;33;-1;-1;;;;;2017
Michael;Dr. von Abercron;1952;CDU;7;Schleswig-Holstein;10;;;;;2017
Ruth Maria;Abmayr;1968;FREIE WÄHLER;252;Bayern;22;;;;;2017
Doris Maria;Achelwilm;1976;DIE LINKE;-1;Bremen;1;;;;;2017
Ulrich;Achenbach;1954;MLPD;-1;Nordrhein-Westfalen;19;;;;;2017
Matthias;Achilles;1991;PIRATEN;87;-1;-1;;;;;2017
Alina Christiane;Achtziger;1999;Die PARTEI;-1;Bayern;3;;;;;2017
Reinmund Adam Johannes;Acker;1949;BGE;-1;Bayern;1;;;;;2017
Lothar;Dr. Ackermann;1953;FDP;201;Rheinland-Pfalz;11;;;;;2017
Petra;Ackmann;1966;SPD;-1;Hamburg;9;;;;;2017
Klaus Jürgen;Adamski;1952;MLPD;-1;Hamburg;10;;;;;2017
Yvonne;Adamski;1978;MLPD;121;-1;-1;;;;;2017
Eric;Adelsberger;1990;Die PARTEI;14;Mecklenburg-Vorpommern;1;;;;;2017
Nadia;Affani;1976;SPD;-1;Niedersachsen;34;;;;;2017
Garrelt Itzen;Agena;1955;GRÜNE;24;Niedersachsen;14;;;;;2017
Grigorios;Aggelidis;1965;FDP;43;Niedersachsen;3;;;;;2017
Diyar;Agu;1999;DIE LINKE;99;Nordrhein-Westfalen;24;;;;;2017
Marco;Ahrends;1982;Die PARTEI;-1;Berlin;41;;;;;2017
Martin;Ahrens;1977;SPD;-1;Schleswig-Holstein;13;;;;;2017
Petra;Ahrens;1969;DM;-1;Bayern;5;;;;;2017
Thorsten;Ahrens;1968;DIE LINKE;157;-1;-1;;;;;2017
Julian;Aicher;1958;ÖDP;-1;Baden-Württemberg;9;;;;;2017
Hubert;Aiwanger;1971;FREIE WÄHLER;228;Bayern;1;;;;;2017
Gökay;Akbulut;1982;DIE LINKE;275;Baden-Württemberg;3;;;;;2017
Mehmet;Akcur;1975;DiB;-1;Niedersachsen;3;;;;;2017
Erhan;Aktürk;1965;MLPD;-1;Nordrhein-Westfalen;2;;;;;2017
Saif;Al Basri;1989;Gesundheitsforschung;-1;Nordrhein-Westfalen;3;;;;;2017
Ali Abass Yahya;Al Dailami;1981;DIE LINKE;173;-1;-1;;;;;2017
Rolf William;Dr. Albach;1963;FDP;101;Nordrhein-Westfalen;26;;;;;2017
Stephan;Albani;1968;CDU;27;Niedersachsen;6;;;;;2017
Bernhard;Albers;1969;BGE;-1;Baden-Württemberg;5;;;;;2017
Joachim;Albert;1958;FREIE WÄHLER;-1;Rheinland-Pfalz;20;;;;;2017
Manfred;Alberti;1947;Die PARTEI;-1;Hamburg;19;;;;;2017
Frank;Albrecht;1967;FDP;116;Nordrhein-Westfalen;22;;;;;2017
Erich Willy;Prof. Albrecht;1950;AfD;-1;Hessen;19;;;;;2017
Katrin;Albsteiger;1983;CSU;-1;Bayern;29;;;;;2017
