Gruppenname;wahlkreis_id;isEinzelbewerber
CDU;-1;False
SPD;-1;False
GRÜNE;-1;False
FDP;-1;False
DIE LINKE;-1;False
AfD;-1;False
NPD;-1;False
FREIE WÄHLER;-1;False
MLPD;-1;False
BGE;-1;False
ÖDP;-1;False
Die PARTEI;-1;False
EB: Krüger-Winands;1;True
Tierschutzpartei;-1;False
PIRATEN;-1;False
Neue Liberale;-1;False
FAMILIE;-1;False
EB: Stoof;12;True
EB: Tschammer-Osten;15;True
DiB;-1;False
DKP;-1;False
V-Partei³;-1;False
EB: Vollmer;19;True
EB: Hofer;19;True
EB: Bultheel;19;True
EB: Scheffler;20;True
EB: Scharnweber;23;True
EB: Giebel;23;True
DM;-1;False
EB: von Pentz;24;True
EB: Knoop;30;True
EB: Hirsch-Sternberg;34;True
Bündnis C;-1;False
EB: Jagau;49;True
EB: Salveter;49;True
EB: Rosenbaum;50;True
EB: Hönig;51;True
MENSCHLICHE WELT;-1;False
EB: Borchert;56;True
EB: Müller;61;True
EB: Meier;63;True
EB: Fleischhauer;64;True
EB: Weidelt;65;True
Tierschutzallianz;-1;False
MG;-1;False
EB: Renne;66;True
EB: Schmidt;66;True
EB: Ulbrich;70;True
EB: Mauson;74;True
BüSo;-1;False
SGP;-1;False
B*;-1;False
Die Grauen;-1;False
du.;-1;False
Gesundheitsforschung;-1;False
EB: Fielsch;75;True
EB: Schirm;76;True
DIE FRAUEN;-1;False
MIETERPARTEI;-1;False
EB: Felde-Bajerowitz;83;True
EB: Wendt;83;True
EB: Blume;83;True
EB: Pape;83;True
EB: Beckmann;83;True
EB: Ritter;83;True
EB: Hasel;83;True
DIE VIOLETTEN;-1;False
EB: Snelinski;86;True
Volksabstimmung;-1;False
AD-DEMOKRATEN;-1;False
Die Humanisten;-1;False
DIE RECHTE;-1;False
PDV;-1;False
EB: Çelikkan;91;True
EB: Luong;96;True
EB: Staratschek;99;True
EB: Werner;101;True
EB: Willing;105;True
EB: Müller-Horn;109;True
EB: Bovenkerk;112;True
EB: Datli;116;True
EB: Menga Nsibu;120;True
EB: Abaga Ayingono;129;True
EB: Overdiek;129;True
EB: Barton;130;True
EB: Tropp;138;True
EB: Mollik;144;True
EB: Meier;146;True
EB: Eichbaum;148;True
EB: Maier;150;True
EB: Kohl;152;True
EB: Roeder;153;True
EB: Richter;156;True
EB: Hoyer;158;True
EB: Held;164;True
EB: Richter;165;True
EB: Zagermann;165;True
EB: Rink;166;True
EB: Puppel;167;True
EB: Holbein;168;True
EB: Gent;168;True
EB: Schmidtke;171;True
EB: Sattler;172;True
EB: Klis;173;True
EB: Frenzel;187;True
EB: Bucher;188;True
EB: Polivka;188;True
EB: Rascopp;189;True
EB: Rieth;189;True
EB: Schneider;191;True
EB: Gruner;191;True
EB: May;191;True
EB: Hüfken;194;True
EB: Geidel;194;True
EB: Meißner;195;True
EB: Metzler;195;True
EB: Verdonk;198;True
EB: Babnik;199;True
EB: Niesen;203;True
EB: Heck;205;True
EB: Elkins;206;True
DIE EINHEIT;-1;False
CSU;-1;False
BP;-1;False
EB: Tschan;215;True
EB: Kreiß;215;True
EB: Mertel;220;True
EB: Ruthner;224;True
UNABHÄNGIGE;-1;False
EB: Ehrl;234;True
EB: Schmid;235;True
EB: Dippel;235;True
EB: Lembach;247;True
EB: Leder;247;True
EB: Schuldis;258;True
EB: Ressdorf;258;True
EB: Miller;260;True
EB: Martin;267;True
EB: Marquardt;267;True
EB: Mayer;271;True
EB: Rapps;273;True
EB: Dachner;278;True
EB: Glück;279;True
EB: Barski;281;True
EB: Ates;282;True
EB: Welte;286;True
EB: Ringger;287;True
EB: Matheis;289;True
EB: Rohrbach;290;True
EB: Rosenacker;293;True
EB: Schuler;293;True
EB: Weinert;294;True
