kurzbezeichnung;wahlkreis_id;jahr;anzahl
CDU;1;2017;58320
SPD;1;2017;40388
GRÜNE;1;2017;22304
FDP;1;2017;18955
DIE LINKE;1;2017;14002
AfD;1;2017;11653
NPD;1;2017;349
FREIE WÄHLER;1;2017;1195
MLPD;1;2017;59
BGE;1;2017;843
ÖDP;1;2017;297
Die PARTEI;1;2017;2100
Tierschutzpartei;1;2017;0
PIRATEN;1;2017;0
CDU;2;2017;52928
SPD;2;2017;31120
GRÜNE;2;2017;15144
FDP;2;2017;18050
DIE LINKE;2;2017;8589
AfD;2;2017;9030
NPD;2;2017;301
FREIE WÄHLER;2;2017;867
MLPD;2;2017;63
BGE;2;2017;430
ÖDP;2;2017;173
Die PARTEI;2;2017;1376
Tierschutzpartei;2;2017;0
PIRATEN;2;2017;0
CDU;3;2017;47366
SPD;3;2017;29756
GRÜNE;3;2017;12960
FDP;3;2017;17298
DIE LINKE;3;2017;8732
AfD;3;2017;11180
NPD;3;2017;471
FREIE WÄHLER;3;2017;1002
MLPD;3;2017;62
BGE;3;2017;415
ÖDP;3;2017;191
Die PARTEI;3;2017;1445
Tierschutzpartei;3;2017;0
PIRATEN;3;2017;0
CDU;4;2017;56585
SPD;4;2017;35766
GRÜNE;4;2017;19337
FDP;4;2017;19071
DIE LINKE;4;2017;9962
AfD;4;2017;11578
NPD;4;2017;307
FREIE WÄHLER;4;2017;1031
MLPD;4;2017;55
BGE;4;2017;584
ÖDP;4;2017;237
Die PARTEI;4;2017;1754
Tierschutzpartei;4;2017;0
PIRATEN;4;2017;0
CDU;5;2017;40736
SPD;5;2017;36208
GRÜNE;5;2017;26143
FDP;5;2017;17804
DIE LINKE;5;2017;15546
AfD;5;2017;10504
NPD;5;2017;250
FREIE WÄHLER;5;2017;540
MLPD;5;2017;147
BGE;5;2017;632
ÖDP;5;2017;345
Die PARTEI;5;2017;3214
Neue Liberale;5;2017;0
Tierschutzpartei;5;2017;0
PIRATEN;5;2017;0
CDU;6;2017;43778
SPD;6;2017;31013
GRÜNE;6;2017;16350
FDP;6;2017;16481
DIE LINKE;6;2017;8503
AfD;6;2017;11161
NPD;6;2017;479
FREIE WÄHLER;6;2017;749
MLPD;6;2017;61
BGE;6;2017;411
ÖDP;6;2017;186
Die PARTEI;6;2017;1342
Tierschutzpartei;6;2017;0
PIRATEN;6;2017;0
CDU;7;2017;63863
SPD;7;2017;42729
GRÜNE;7;2017;21336
FDP;7;2017;24735
DIE LINKE;7;2017;13111
AfD;7;2017;15977
NPD;7;2017;446
FREIE WÄHLER;7;2017;954
MLPD;7;2017;52
BGE;7;2017;541
ÖDP;7;2017;428
Die PARTEI;7;2017;2200
Tierschutzpartei;7;2017;0
PIRATEN;7;2017;0
CDU;8;2017;66367
SPD;8;2017;43027
GRÜNE;8;2017;21010
FDP;8;2017;26043
DIE LINKE;8;2017;13237
AfD;8;2017;17166
NPD;8;2017;463
FREIE WÄHLER;8;2017;1532
MLPD;8;2017;69
BGE;8;2017;503
ÖDP;8;2017;392
Die PARTEI;8;2017;2136
Tierschutzpartei;8;2017;0
PIRATEN;8;2017;0
CDU;9;2017;48898
SPD;9;2017;33764
GRÜNE;9;2017;13493
FDP;9;2017;18147
DIE LINKE;9;2017;8303
AfD;9;2017;11782
NPD;9;2017;301
FREIE WÄHLER;9;2017;870
MLPD;9;2017;42
BGE;9;2017;311
ÖDP;9;2017;179
Die PARTEI;9;2017;1205
FAMILIE;9;2017;0
Tierschutzpartei;9;2017;0
PIRATEN;9;2017;0
CDU;10;2017;66031
SPD;10;2017;42815
GRÜNE;10;2017;20826
FDP;10;2017;26163
DIE LINKE;10;2017;12480
AfD;10;2017;18792
NPD;10;2017;492
FREIE WÄHLER;10;2017;1264
MLPD;10;2017;51
BGE;10;2017;525
ÖDP;10;2017;422
Die PARTEI;10;2017;2110
Tierschutzpartei;10;2017;0
PIRATEN;10;2017;0
CDU;11;2017;38263
SPD;11;2017;32919
GRÜNE;11;2017;16568
FDP;11;2017;14097
DIE LINKE;11;2017;12213
AfD;11;2017;11539
NPD;11;2017;351
FREIE WÄHLER;11;2017;1091
MLPD;11;2017;162
BGE;11;2017;475
ÖDP;11;2017;266
Die PARTEI;11;2017;1850
Tierschutzpartei;11;2017;0
PIRATEN;11;2017;0
CDU;12;2017;51083
DIE LINKE;12;2017;25929
SPD;12;2017;28947
AfD;12;2017;25692
GRÜNE;12;2017;6606
NPD;12;2017;1700
FDP;12;2017;9879
