Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Petra;Nicolaisen;1965;CDU;Flensburg – Schleswig;-1;-1;2021
Franziska Maria;Brzezicha;1993;SPD;Flensburg – Schleswig;-1;-1;2021
Christoph Georgios;Anastasiadis;1995;FDP;Flensburg – Schleswig;-1;-1;2021
Robert;Habeck;1969;GRÜNE;Flensburg – Schleswig;-1;-1;2021
Jan;Petersen-Brendel;1968;AfD;Flensburg – Schleswig;-1;-1;2021
Katrine;Hoop;1970;DIE LINKE;Flensburg – Schleswig;-1;-1;2021
Arne Olaf;Jöhnk;1978;FREIE WÄHLER;Flensburg – Schleswig;-1;-1;2021
Marko;Wölbing;1982;dieBasis;Flensburg – Schleswig;-1;-1;2021
Dariush;Keshavarz Khorasgani;1994;du.;Flensburg – Schleswig;-1;-1;2021
Uwe Hermann;Christiansen;1961;LKR;Flensburg – Schleswig;-1;-1;2021
Stefan;Seidler;1979;SSW;Flensburg – Schleswig;-1;-1;2021
Astrid;Damerow;1958;CDU;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Jens Peter;Jensen;1953;SPD;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Gyde;Jensen-Bornhöft;1989;FDP;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Denise;Loop;1994;GRÜNE;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Andrej;Clasen;1990;AfD;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Hartmut Otto;Jensen;1960;DIE LINKE;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Traymont;Wilhelmi;1992;FREIE WÄHLER;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Sandor;Stolz;1966;dieBasis;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Axel;Frey;1984;LKR;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Sybilla Lena;Nitsch;1980;SSW;Nordfriesland – Dithmarschen Nord;-1;-1;2021
Mark;Helfrich;1978;CDU;Steinburg – Dithmarschen Süd;-1;-1;2021
Karin;Thissen;1960;SPD;Steinburg – Dithmarschen Süd;-1;-1;2021
Wolfgang;Kubicki;1952;FDP;Steinburg – Dithmarschen Süd;-1;-1;2021
Ingrid Johanna;Nestle;1977;GRÜNE;Steinburg – Dithmarschen Süd;-1;-1;2021
Jan;Voigt;1954;AfD;Steinburg – Dithmarschen Süd;-1;-1;2021
Michael;Schilke;1965;DIE LINKE;Steinburg – Dithmarschen Süd;-1;-1;2021
Jens;Köster;1967;FREIE WÄHLER;Steinburg – Dithmarschen Süd;-1;-1;2021
Stefan;Habermann;1964;dieBasis;Steinburg – Dithmarschen Süd;-1;-1;2021
Mark;Riemann;1967;LKR;Steinburg – Dithmarschen Süd;-1;-1;2021
Robert;Pilgrim;1987;V-Partei³;Steinburg – Dithmarschen Süd;-1;-1;2021
Johann David;Wadephul;1963;CDU;Rendsburg-Eckernförde;-1;-1;2021
Sönke;Rix;1975;SPD;Rendsburg-Eckernförde;-1;-1;2021
Christine Irene;Aschenberg-Dugnus;1959;FDP;Rendsburg-Eckernförde;-1;-1;2021
Jakob;Blasel;2000;GRÜNE;Rendsburg-Eckernförde;-1;-1;2021
Gereon;Bollmann;1953;AfD;Rendsburg-Eckernförde;-1;-1;2021
Hauke Henning;Schultz;1984;DIE LINKE;Rendsburg-Eckernförde;-1;-1;2021
Nils-Hermann;Saul;1980;Die PARTEI;Rendsburg-Eckernförde;-1;-1;2021
Bärbel;Kahlund;1964;FREIE WÄHLER;Rendsburg-Eckernförde;-1;-1;2021
Holger;Thiesen;1954;dieBasis;Rendsburg-Eckernförde;-1;-1;2021
Maylis;Roßberg;2000;SSW;Rendsburg-Eckernförde;-1;-1;2021
Thomas;Stritzl;1957;CDU;Kiel;-1;-1;2021
Jens Mathias;Stein;1970;SPD;Kiel;-1;-1;2021
Maximilian;Mordhorst;1996;FDP;Kiel;-1;-1;2021
Luise;Amtsberg;1984;GRÜNE;Kiel;-1;-1;2021
