Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Petra;Nicolaisen;1965;CDU;Flensburg – Schleswig;-1;-1;;;Wanderup;MdB, Industriekauffrau;2021
Franziska Maria;Brzezicha;1993;SPD;Flensburg – Schleswig;-1;-1;;;Treia;wiss. Mitarbeiterin;2021
Christoph Georgios;Anastasiadis;1995;FDP;Flensburg – Schleswig;-1;-1;;;Flensburg;Kaufmann;2021
Robert;Habeck;1969;GRÜNE;Flensburg – Schleswig;-1;-1;;;Flensburg;Politiker;2021
Jan;Petersen-Brendel;1968;AfD;Flensburg – Schleswig;-1;-1;;;Wanderup;Kfz-Mechaniker;2021
Katrine;Hoop;1970;DIE LINKE;Flensburg – Schleswig;-1;-1;;;Flensburg;Kriminologin;2021
Arne Olaf;Jöhnk;1978;FREIE WÄHLER;Flensburg – Schleswig;-1;-1;;;Schleswig;Berufssoldat;2021
Marko;Wölbing;1982;dieBasis;Flensburg – Schleswig;-1;-1;;;Flensburg;Lehrer;2021
Dariush;Keshavarz Khorasgani;1994;du.;Flensburg – Schleswig;-1;-1;;;Kiel;Student;2021
Uwe Hermann;Christiansen;1961;LKR;Flensburg – Schleswig;-1;-1;;;Groß Rheide;Berufssoldat a. D.;2021
Stefan;Seidler;1979;SSW;Flensburg – Schleswig;-1;-1;;;Flensburg;Deutsch-Dänischer Koordinator;2021
Astrid;Damerow;1958;CDU;Nordfriesland – Dithmarschen Nord;-1;-1;;;Leck;MdB, Bankkauffrau;2021
Jens Peter;Jensen;1953;SPD;Nordfriesland – Dithmarschen Nord;-1;-1;;;Witzwort;Politikwissenschaftler;2021
Gyde;Jensen-Bornhöft;1989;FDP;Nordfriesland – Dithmarschen Nord;-1;-1;;;Kiel;Politikwissenschaftlerin (M. A.);2021
Denise;Loop;1994;GRÜNE;Nordfriesland – Dithmarschen Nord;-1;-1;;;Heide;Sozialarbeiterin;2021
Andrej;Clasen;1990;AfD;Nordfriesland – Dithmarschen Nord;-1;-1;;;Achtrup;Einzelhandelskaufmann;2021
Hartmut Otto;Jensen;1960;DIE LINKE;Nordfriesland – Dithmarschen Nord;-1;-1;;;Schwabstedt;Rohrnetzmonteur;2021
Traymont;Wilhelmi;1992;FREIE WÄHLER;Nordfriesland – Dithmarschen Nord;-1;-1;;;Flensburg;Werkstudent im Einzel- und Grenzhandel;2021
Sandor;Stolz;1966;dieBasis;Nordfriesland – Dithmarschen Nord;-1;-1;;;Risum-Lindholm;Busfahrer;2021
Axel;Frey;1984;LKR;Nordfriesland – Dithmarschen Nord;-1;-1;;;Wesselburen;Altenpflegehelfer;2021
Sybilla Lena;Nitsch;1980;SSW;Nordfriesland – Dithmarschen Nord;-1;-1;;;Husum;Lehrerin;2021
Mark;Helfrich;1978;CDU;Steinburg – Dithmarschen Süd;-1;-1;;;Dägeling;Mitglied des Deutschen Bundestages;2021
Karin;Thissen;1960;SPD;Steinburg – Dithmarschen Süd;-1;-1;Dr.;;Itzehoe;Tierärztin;2021
Wolfgang;Kubicki;1952;FDP;Steinburg – Dithmarschen Süd;-1;-1;;;Strande;Rechtsanwalt;2021
Ingrid Johanna;Nestle;1977;GRÜNE;Steinburg – Dithmarschen Süd;-1;-1;Dr.;;Berlin;Dipl.-Wirtschaftsingenieurin;2021
Jan;Voigt;1954;AfD;Steinburg – Dithmarschen Süd;-1;-1;;;Itzehoe;Dipl.-Verwaltungswirt (FH);2021
Michael;Schilke;1965;DIE LINKE;Steinburg – Dithmarschen Süd;-1;-1;;;Hochdonn;Angestellter;2021
Jens;Köster;1967;FREIE WÄHLER;Steinburg – Dithmarschen Süd;-1;-1;;;Krempe;Angestellter;2021
Stefan;Habermann;1964;dieBasis;Steinburg – Dithmarschen Süd;-1;-1;;;Kellinghusen;Dozent;2021
Mark;Riemann;1967;LKR;Steinburg – Dithmarschen Süd;-1;-1;;;Marne;Unternehmer;2021
Robert;Pilgrim;1987;V-Partei³;Steinburg – Dithmarschen Süd;-1;-1;;;Oeschebüttel;Sonderschullehrer;2021
Johann David;Wadephul;1963;CDU;Rendsburg-Eckernförde;-1;-1;Dr.;;Molfsee;MdB, Rechtsanwalt;2021
Sönke;Rix;1975;SPD;Rendsburg-Eckernförde;-1;-1;;;Eckernförde;Erzieher;2021
Christine Irene;Aschenberg-Dugnus;1959;FDP;Rendsburg-Eckernförde;-1;-1;;;Strande;Rechtsanwältin;2021
Jakob;Blasel;2000;GRÜNE;Rendsburg-Eckernförde;-1;-1;;;Kronshagen;Student der Rechtswissenschaften;2021
Gereon;Bollmann;1953;AfD;Rendsburg-Eckernförde;-1;-1;;;Kiel;Richter a. D.;2021
Hauke Henning;Schultz;1984;DIE LINKE;Rendsburg-Eckernförde;-1;-1;;;Rendsburg;Unternehmer;2021
Nils-Hermann;Saul;1980;Die PARTEI;Rendsburg-Eckernförde;-1;-1;;;Rendsburg;Versicherungskaufmann;2021
Bärbel;Kahlund;1964;FREIE WÄHLER;Rendsburg-Eckernförde;-1;-1;;;Schleswig;Rentnerin;2021
Holger;Thiesen;1954;dieBasis;Rendsburg-Eckernförde;-1;-1;;;Schülp b. Rendsburg;Rentner;2021
Maylis;Roßberg;2000;SSW;Rendsburg-Eckernförde;-1;-1;;;Kiel;Studentin;2021
Thomas;Stritzl;1957;CDU;Kiel;-1;-1;;;Kiel;Rechtsanwalt;2021
Jens Mathias;Stein;1970;SPD;Kiel;-1;-1;;;Kiel;Bautechniker;2021
