Gruppenname;Gebietsnummer;jahr;Anzahl
CDU;1;2021;41721
SPD;1;2021;38927
FDP;1;2021;12299
GRÜNE;1;2021;50231
AfD;1;2021;9768
DIE LINKE;1;2021;6544
Die PARTEI;1;2021;0
FREIE WÄHLER;1;2021;2324
NPD;1;2021;0
ÖDP;1;2021;0
MLPD;1;2021;0
dieBasis;1;2021;3357
DKP;1;2021;0
du.;1;2021;227
LKR;1;2021;157
Die Humanisten;1;2021;0
Tierschutzpartei;1;2021;0
SSW;1;2021;13020
Team Todenhöfer;1;2021;0
Volt;1;2021;0
V-Partei³;1;2021;0
CDU;2;2021;43745
SPD;2;2021;40026
FDP;2;2021;13958
GRÜNE;2;2021;20611
AfD;2;2021;8274
DIE LINKE;2;2021;4060
Die PARTEI;2;2021;0
FREIE WÄHLER;2;2021;1510
NPD;2;2021;0
ÖDP;2;2021;0
MLPD;2;2021;0
dieBasis;2;2021;2254
DKP;2;2021;0
du.;2;2021;0
LKR;2;2021;202
Die Humanisten;2;2021;0
Tierschutzpartei;2;2021;0
SSW;2;2021;9410
Team Todenhöfer;2;2021;0
Volt;2;2021;0
V-Partei³;2;2021;0
CDU;3;2021;39431
SPD;3;2021;39379
FDP;3;2021;19315
GRÜNE;3;2021;16686
AfD;3;2021;10429
DIE LINKE;3;2021;4339
Die PARTEI;3;2021;0
FREIE WÄHLER;3;2021;2566
NPD;3;2021;0
ÖDP;3;2021;0
MLPD;3;2021;0
dieBasis;3;2021;2040
DKP;3;2021;0
du.;3;2021;0
LKR;3;2021;214
Die Humanisten;3;2021;0
Tierschutzpartei;3;2021;0
SSW;3;2021;0
Team Todenhöfer;3;2021;0
Volt;3;2021;0
V-Partei³;3;2021;581
CDU;4;2021;47688
SPD;4;2021;49474
FDP;4;2021;12903
GRÜNE;4;2021;23832
AfD;4;2021;10200
DIE LINKE;4;2021;4416
Die PARTEI;4;2021;2150
FREIE WÄHLER;4;2021;1651
NPD;4;2021;0
ÖDP;4;2021;0
MLPD;4;2021;0
dieBasis;4;2021;2502
DKP;4;2021;0
du.;4;2021;0
LKR;4;2021;0
Die Humanisten;4;2021;0
Tierschutzpartei;4;2021;0
SSW;4;2021;5834
Team Todenhöfer;4;2021;0
Volt;4;2021;0
V-Partei³;4;2021;0
CDU;5;2021;28416
SPD;5;2021;45709
FDP;5;2021;11445
GRÜNE;5;2021;43532
AfD;5;2021;7147
DIE LINKE;5;2021;7275
Die PARTEI;5;2021;2944
FREIE WÄHLER;5;2021;1144
NPD;5;2021;0
ÖDP;5;2021;0
MLPD;5;2021;76
dieBasis;5;2021;2009
DKP;5;2021;110
du.;5;2021;202
LKR;5;2021;0
Die Humanisten;5;2021;0
Tierschutzpartei;5;2021;0
SSW;5;2021;4141
Team Todenhöfer;5;2021;0
Volt;5;2021;666
V-Partei³;5;2021;0
CDU;6;2021;36870
SPD;6;2021;41497
FDP;6;2021;12420
GRÜNE;6;2021;20740
AfD;6;2021;9404
DIE LINKE;6;2021;3718
Die PARTEI;6;2021;2196
FREIE WÄHLER;6;2021;2386
NPD;6;2021;0
ÖDP;6;2021;0
MLPD;6;2021;0
dieBasis;6;2021;2508
DKP;6;2021;0
du.;6;2021;0
LKR;6;2021;223
Die Humanisten;6;2021;0
Tierschutzpartei;6;2021;0
SSW;6;2021;0
Team Todenhöfer;6;2021;0
Volt;6;2021;0
V-Partei³;6;2021;0
CDU;7;2021;49710
SPD;7;2021;59298
FDP;7;2021;20737
GRÜNE;7;2021;32109
AfD;7;2021;12141
DIE LINKE;7;2021;5659
Die PARTEI;7;2021;2352
FREIE WÄHLER;7;2021;2380
NPD;7;2021;0
ÖDP;7;2021;0
MLPD;7;2021;0
dieBasis;7;2021;2895
DKP;7;2021;0
du.;7;2021;0
LKR;7;2021;166
Die Humanisten;7;2021;0
Tierschutzpartei;7;2021;0
SSW;7;2021;2622
Team Todenhöfer;7;2021;0
Volt;7;2021;0
V-Partei³;7;2021;0
CDU;8;2021;55265
SPD;8;2021;63369
FDP;8;2021;20575
GRÜNE;8;2021;27109
AfD;8;2021;14040
DIE LINKE;8;2021;6202
Die PARTEI;8;2021;3299
FREIE WÄHLER;8;2021;4670
NPD;8;2021;0
ÖDP;8;2021;0
MLPD;8;2021;0
dieBasis;8;2021;3389
DKP;8;2021;0
du.;8;2021;0
LKR;8;2021;0
Die Humanisten;8;2021;0
Tierschutzpartei;8;2021;0
SSW;8;2021;0
Team Todenhöfer;8;2021;0
Volt;8;2021;0
V-Partei³;8;2021;0
CDU;9;2021;42991
SPD;9;2021;47714
FDP;9;2021;13289
GRÜNE;9;2021;19025
AfD;9;2021;9647
DIE LINKE;9;2021;4122
Die PARTEI;9;2021;0
FREIE WÄHLER;9;2021;2582
NPD;9;2021;0
ÖDP;9;2021;0
MLPD;9;2021;0
dieBasis;9;2021;2032
DKP;9;2021;0
du.;9;2021;0
LKR;9;2021;0
Die Humanisten;9;2021;0
Tierschutzpartei;9;2021;0
SSW;9;2021;0
Team Todenhöfer;9;2021;0
Volt;9;2021;0
V-Partei³;9;2021;0
EB: Schlüter;9;2021;389
CDU;10;2021;51872
SPD;10;2021;60593
FDP;10;2021;20550
GRÜNE;10;2021;33949
AfD;10;2021;14053
DIE LINKE;10;2021;5168
Die PARTEI;10;2021;2956
FREIE WÄHLER;10;2021;3517
NPD;10;2021;0
ÖDP;10;2021;0
MLPD;10;2021;0
dieBasis;10;2021;2544
DKP;10;2021;125
du.;10;2021;0
LKR;10;2021;0
Die Humanisten;10;2021;0
Tierschutzpartei;10;2021;0
SSW;10;2021;0
Team Todenhöfer;10;2021;0
Volt;10;2021;0
V-Partei³;10;2021;0
CDU;11;2021;28266
SPD;11;2021;44315
FDP;11;2021;9700
GRÜNE;11;2021;27809
AfD;11;2021;8538
DIE LINKE;11;2021;4020
Die PARTEI;11;2021;2193
FREIE WÄHLER;11;2021;1788
NPD;11;2021;0
ÖDP;11;2021;0
MLPD;11;2021;189
dieBasis;11;2021;1594
DKP;11;2021;91
du.;11;2021;298
LKR;11;2021;89
Die Humanisten;11;2021;0
Tierschutzpartei;11;2021;0
SSW;11;2021;0
Team Todenhöfer;11;2021;0
Volt;11;2021;765
V-Partei³;11;2021;0
EB: Kerkhoff;11;2021;220
CDU;12;2021;31754
