Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;jahr
Johann David;Wadephul;1963;CDU;-1;Schleswig-Holstein;1;2021
Astrid;Damerow;1958;CDU;-1;Schleswig-Holstein;2;2021
Ingo Adolf August;Gädechens;1960;CDU;-1;Schleswig-Holstein;3;2021
Petra;Nicolaisen;1965;CDU;-1;Schleswig-Holstein;4;2021
Gero;Storjohann;1958;CDU;-1;Schleswig-Holstein;5;2021
Melanie;Bernstein;1976;CDU;-1;Schleswig-Holstein;6;2021
Mark;Helfrich;1978;CDU;-1;Schleswig-Holstein;7;2021
Claudia;Schmidtke;1966;CDU;-1;Schleswig-Holstein;8;2021
Ernst Michael;Abercron;1952;CDU;-1;Schleswig-Holstein;9;2021
Juliane;Müller-Weigel;1989;CDU;-1;Schleswig-Holstein;10;2021
Thomas;Peters;1975;CDU;-1;Schleswig-Holstein;11;2021
Bettina;Spechtmeyer-Högel;1964;CDU;-1;Schleswig-Holstein;12;2021
Thomas;Stritzl;1957;CDU;-1;Schleswig-Holstein;13;2021
Dagmar;Steiner;1964;CDU;-1;Schleswig-Holstein;14;2021
Timo;Gaarz;1977;CDU;-1;Schleswig-Holstein;15;2021
Ulrike;Stentzler;1962;CDU;-1;Schleswig-Holstein;16;2021
Leif Erik;Bodin;1996;CDU;-1;Schleswig-Holstein;17;2021
Sabine;Mues;1964;CDU;-1;Schleswig-Holstein;18;2021
Lars;Kuhlmann;1976;CDU;-1;Schleswig-Holstein;19;2021
Britta;Röpke-Modenbach;1967;CDU;-1;Schleswig-Holstein;20;2021
Henri;Schmidt;1983;CDU;-1;Schleswig-Holstein;21;2021
Stefanie;Rönnau;1970;CDU;-1;Schleswig-Holstein;22;2021
Nicolas;Sölter;1988;CDU;-1;Schleswig-Holstein;23;2021
Lena;Grützmacher;1984;CDU;-1;Schleswig-Holstein;24;2021
Tom;Matzen;1997;CDU;-1;Schleswig-Holstein;25;2021
Kerstin;Seyfert;1964;CDU;-1;Schleswig-Holstein;26;2021
Jens;Junkersdorf;1980;CDU;-1;Schleswig-Holstein;27;2021
Vivien Christine Sylvia;Claussen;1988;CDU;-1;Schleswig-Holstein;28;2021
Marten;Waller;1984;CDU;-1;Schleswig-Holstein;29;2021
Christiane;Ostermeyer;1962;CDU;-1;Schleswig-Holstein;30;2021
Niklas;Schwab;1994;CDU;-1;Schleswig-Holstein;31;2021
Bärbel;Feddersen;1975;CDU;-1;Schleswig-Holstein;32;2021
Kole;Gjoka;1970;CDU;-1;Schleswig-Holstein;33;2021
Jasmin Anneliese;Krause;1998;CDU;-1;Schleswig-Holstein;34;2021
Anna Ruth;Weidler;1965;CDU;-1;Schleswig-Holstein;35;2021
Sven;Voß;1979;CDU;-1;Schleswig-Holstein;36;2021
Annette;Glage;1968;CDU;-1;Schleswig-Holstein;37;2021
Daniel;Herzberger;1986;CDU;-1;Schleswig-Holstein;38;2021
Sönke;Rix;1975;SPD;-1;Schleswig-Holstein;1;2021
Nina;Scheer;1971;SPD;-1;Schleswig-Holstein;2;2021
Ralf;Stegner;1959;SPD;-1;Schleswig-Holstein;3;2021
Bettina;Hagedorn;1955;SPD;-1;Schleswig-Holstein;4;2021
Tim;Klüssendorf;1991;SPD;-1;Schleswig-Holstein;5;2021
Franziska Maria;Brzezicha;1993;SPD;-1;Schleswig-Holstein;6;2021
Jens Mathias;Stein;1970;SPD;-1;Schleswig-Holstein;7;2021
Karin;Thissen;1960;SPD;-1;Schleswig-Holstein;8;2021
Bengt Axel;Bergt;1982;SPD;-1;Schleswig-Holstein;9;2021
Dorothea;Siemers;1989;SPD;-1;Schleswig-Holstein;10;2021
Jens Peter;Jensen;1953;SPD;-1;Schleswig-Holstein;11;2021
Christiane Andrea;Buhl;1981;SPD;-1;Schleswig-Holstein;12;2021
Kristian;Klinck;1979;SPD;-1;Schleswig-Holstein;13;2021
Aylin;Cerrah;1997;SPD;-1;Schleswig-Holstein;14;2021
Felix;Ferber;1990;SPD;-1;Schleswig-Holstein;15;2021
Katrin;Fedrowitz;1973;SPD;-1;Schleswig-Holstein;16;2021
Mats Marti;Hansen;1988;SPD;-1;Schleswig-Holstein;17;2021
Martina;Claussen;1976;SPD;-1;Schleswig-Holstein;18;2021
Tobias;Schloo;1992;SPD;-1;Schleswig-Holstein;19;2021
Miriam;Huppermann;1985;SPD;-1;Schleswig-Holstein;20;2021
Wolfgang;Kubicki;1952;FDP;-1;Schleswig-Holstein;1;2021
Gyde;Jensen-Bornhöft;1989;FDP;-1;Schleswig-Holstein;2;2021
Christine Irene;Aschenberg-Dugnus;1959;FDP;-1;Schleswig-Holstein;3;2021
Maximilian;Mordhorst;1996;FDP;-1;Schleswig-Holstein;4;2021
Philipp;Rösch;1978;FDP;-1;Schleswig-Holstein;5;2021
Christoph Georgios;Anastasiadis;1995;FDP;-1;Schleswig-Holstein;6;2021
Heike Margit;Stegemann;1964;FDP;-1;Schleswig-Holstein;7;2021
Martin;Turowski;1973;FDP;-1;Schleswig-Holstein;8;2021
Gunnar;Schulz;1976;FDP;-1;Schleswig-Holstein;9;2021
Jan;Schupp;1973;FDP;-1;Schleswig-Holstein;10;2021
Tobias;Heisig;1995;FDP;-1;Schleswig-Holstein;11;2021
Luise;Amtsberg;1984;GRÜNE;-1;Schleswig-Holstein;1;2021
Robert;Habeck;1969;GRÜNE;-1;Schleswig-Holstein;2;2021
Ingrid Johanna;Nestle;1977;GRÜNE;-1;Schleswig-Holstein;3;2021
Konstantin;Notz;1971;GRÜNE;-1;Schleswig-Holstein;4;2021
Denise;Loop;1994;GRÜNE;-1;Schleswig-Holstein;5;2021
Bruno;Hönel;1996;GRÜNE;-1;Schleswig-Holstein;6;2021
Kerstin;Mock-Hofeditz;1966;GRÜNE;-1;Schleswig-Holstein;7;2021
Jakob;Blasel;2000;GRÜNE;-1;Schleswig-Holstein;8;2021
Marlene;Langholz-Kaiser;1980;GRÜNE;-1;Schleswig-Holstein;9;2021
Jens;Herrndorff;1969;GRÜNE;-1;Schleswig-Holstein;10;2021
Jessica;Kordouni;1982;GRÜNE;-1;Schleswig-Holstein;11;2021
Jakob;Brunken;1987;GRÜNE;-1;Schleswig-Holstein;12;2021
Ulrike;Täck;1968;GRÜNE;-1;Schleswig-Holstein;13;2021
Nils;Bollenbach;2000;GRÜNE;-1;Schleswig-Holstein;14;2021
Nadine;Mai;1983;GRÜNE;-1;Schleswig-Holstein;15;2021
Martin;Drees;1964;GRÜNE;-1;Schleswig-Holstein;16;2021
Uta;Röpcke;1965;GRÜNE;-1;Schleswig-Holstein;17;2021
Dirk Richard;Kock-Rohwer;1960;GRÜNE;-1;Schleswig-Holstein;18;2021
Nelly;Waldeck;1997;GRÜNE;-1;Schleswig-Holstein;19;2021
Luca Jan;Köpping;1997;GRÜNE;-1;Schleswig-Holstein;20;2021
Hannah;Wolf;1995;GRÜNE;-1;Schleswig-Holstein;21;2021
Lydia Johanna;Rudow;1990;GRÜNE;-1;Schleswig-Holstein;22;2021
Hildegard;Bedarff;1961;GRÜNE;-1;Schleswig-Holstein;23;2021
Jonathan;Morsch;2001;GRÜNE;-1;Schleswig-Holstein;24;2021
Dorothee;Schnitzler;1956;GRÜNE;-1;Schleswig-Holstein;25;2021
Uwe;Witt;1959;AfD;-1;Schleswig-Holstein;1;2021
Gereon;Bollmann;1953;AfD;-1;Schleswig-Holstein;2;2021
Kerstin;Przygodda;1962;AfD;-1;Schleswig-Holstein;3;2021
Wiebke;Neumann;1974;AfD;-1;Schleswig-Holstein;4;2021
Eike Julius;Reimers;1994;AfD;-1;Schleswig-Holstein;5;2021
Joachim Rudi;Schneider;1972;AfD;-1;Schleswig-Holstein;6;2021
Martina;Dibbern;1979;AfD;-1;Schleswig-Holstein;7;2021
Sven;Wendorf;1972;AfD;-1;Schleswig-Holstein;8;2021
Cornelia;Möhring;1960;DIE LINKE;-1;Schleswig-Holstein;1;2021
Lorenz Gösta;Beutin;1978;DIE LINKE;-1;Schleswig-Holstein;2;2021
Katrine;Hoop;1970;DIE LINKE;-1;Schleswig-Holstein;3;2021
Susanne;Spethmann;1979;DIE LINKE;-1;Schleswig-Holstein;4;2021
Sophie;Bachmann;1988;DIE LINKE;-1;Schleswig-Holstein;5;2021
Maximilian;Reimers;1999;DIE LINKE;-1;Schleswig-Holstein;6;2021
Karolin;Wunderlich;1989;Die PARTEI;-1;Schleswig-Holstein;1;2021
Natalie;Demmer;1995;Die PARTEI;-1;Schleswig-Holstein;2;2021
Fabienne;Brozio;1988;Die PARTEI;-1;Schleswig-Holstein;3;2021
Erkan;Inak;1987;Die PARTEI;-1;Schleswig-Holstein;4;2021
Simone;Kaletsch;1972;Die PARTEI;-1;Schleswig-Holstein;5;2021
Georg;Weigand;1983;Die PARTEI;-1;Schleswig-Holstein;6;2021
Alexander Sebastian;Schacht;1982;Die PARTEI;-1;Schleswig-Holstein;7;2021
Arne;Schönfelder;1970;Die PARTEI;-1;Schleswig-Holstein;8;2021
Ines;Liedtke;1982;Die PARTEI;-1;Schleswig-Holstein;9;2021
David;Hoeftmann;1976;Die PARTEI;-1;Schleswig-Holstein;10;2021
Joy-Phyllis;Kaletsch;2003;Die PARTEI;-1;Schleswig-Holstein;11;2021
Yorik Timo;Hansen;2002;Die PARTEI;-1;Schleswig-Holstein;12;2021
Alexandra;Richter;1974;Die PARTEI;-1;Schleswig-Holstein;13;2021
Michael;Grenz;1973;Die PARTEI;-1;Schleswig-Holstein;14;2021
Patricia;Soares;2003;Die PARTEI;-1;Schleswig-Holstein;15;2021
Maria-Lena;Zeplin;1997;Die PARTEI;-1;Schleswig-Holstein;16;2021
Vivien;Rotenberger;2001;Die PARTEI;-1;Schleswig-Holstein;17;2021
Nils-Hermann;Saul;1980;Die PARTEI;-1;Schleswig-Holstein;18;2021
Ove Joachim;Schröter;1967;Die PARTEI;-1;Schleswig-Holstein;19;2021
Nanke Therese;Salto;1994;Die PARTEI;-1;Schleswig-Holstein;20;2021
Pablo;Wittrock;1984;Die PARTEI;-1;Schleswig-Holstein;21;2021
Jens;Wemhöner;1994;Die PARTEI;-1;Schleswig-Holstein;22;2021
Noah;Peeters;1999;Die PARTEI;-1;Schleswig-Holstein;23;2021
Nils-Henrik;Köhler;1991;Die PARTEI;-1;Schleswig-Holstein;24;2021
Sascha;Wienck;1980;Die PARTEI;-1;Schleswig-Holstein;25;2021
Frauke;Koch;1961;Die PARTEI;-1;Schleswig-Holstein;26;2021
Mirko;Rohde;1996;Die PARTEI;-1;Schleswig-Holstein;27;2021
Gregor;Voht;1990;FREIE WÄHLER;-1;Schleswig-Holstein;1;2021
Julia;Glagau;1983;FREIE WÄHLER;-1;Schleswig-Holstein;2;2021
David Frederic;Gutzeit;2001;FREIE WÄHLER;-1;Schleswig-Holstein;3;2021
Traymont;Wilhelmi;1992;FREIE WÄHLER;-1;Schleswig-Holstein;4;2021
Kathrin;Arbeck;1969;FREIE WÄHLER;-1;Schleswig-Holstein;5;2021
Andreas;Rothgaenger;1973;FREIE WÄHLER;-1;Schleswig-Holstein;6;2021
Melanie;Görtz;1979;FREIE WÄHLER;-1;Schleswig-Holstein;7;2021
Johanna Ursula;Meißner;1961;FREIE WÄHLER;-1;Schleswig-Holstein;8;2021
Katja;Thedens;1965;FREIE WÄHLER;-1;Schleswig-Holstein;9;2021
Mark;Proch;1965;NPD;-1;Schleswig-Holstein;1;2021
Karin Christine;Mundt;1973;NPD;-1;Schleswig-Holstein;2;2021
Wolfgang;Schimmel;1962;NPD;-1;Schleswig-Holstein;3;2021
Michael;Hannemann;1981;NPD;-1;Schleswig-Holstein;4;2021
Thomas;Weber;1969;ÖDP;-1;Schleswig-Holstein;1;2021
Volker;Behrendt;1967;ÖDP;-1;Schleswig-Holstein;2;2021
Andreas Günter;Wilk;1962;ÖDP;-1;Schleswig-Holstein;3;2021
Michael;Möller;1974;ÖDP;-1;Schleswig-Holstein;4;2021
Hubert;Ohlendorf;1953;ÖDP;-1;Schleswig-Holstein;5;2021
Maria;Meyer;1954;MLPD;-1;Schleswig-Holstein;1;2021
Lüder Paul Wilhelm;Möller;1949;MLPD;-1;Schleswig-Holstein;2;2021
Karin;Zan Bi;1958;MLPD;-1;Schleswig-Holstein;3;2021
Hans-Joachim;Paulsen;1958;MLPD;-1;Schleswig-Holstein;4;2021
Monika;Losch;1950;MLPD;-1;Schleswig-Holstein;5;2021
David Claudio;Siber;1988;dieBasis;-1;Schleswig-Holstein;1;2021
Holger;Thiesen;1954;dieBasis;-1;Schleswig-Holstein;2;2021
Hanna Louise;Kröger;1980;dieBasis;-1;Schleswig-Holstein;3;2021
Uwe Helmut;Fleischer;1967;dieBasis;-1;Schleswig-Holstein;4;2021
Mudimu;Opayi;1971;dieBasis;-1;Schleswig-Holstein;5;2021
Lilly Gerlinde;König;1969;dieBasis;-1;Schleswig-Holstein;6;2021
