Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Johann David;Wadephul;1963;CDU;-1;Schleswig-Holstein;1;Dr.;;Molfsee;MdB, Rechtsanwalt;2021
Astrid;Damerow;1958;CDU;-1;Schleswig-Holstein;2;;;Leck;MdB, Bankkauffrau;2021
Ingo Adolf August;Gädechens;1960;CDU;-1;Schleswig-Holstein;3;;;Fehmarn;MdB, Berufssoldat a. D.;2021
Petra;Nicolaisen;1965;CDU;-1;Schleswig-Holstein;4;;;Wanderup;MdB, Industriekauffrau;2021
Gero;Storjohann;1958;CDU;-1;Schleswig-Holstein;5;;;Seth;MdB, Dipl.-Betriebswirt (FH);2021
Melanie;Bernstein;1976;CDU;-1;Schleswig-Holstein;6;;;Wahlstedt;MdB, Kulturwissenschaftlerin;2021
Mark;Helfrich;1978;CDU;-1;Schleswig-Holstein;7;;;Dägeling;Mitglied des Deutschen Bundestages;2021
Claudia;Schmidtke;1966;CDU;-1;Schleswig-Holstein;8;Dr.;;Lübeck;MdB, Ärztin, Professorin;2021
Ernst Michael;Abercron;1952;CDU;-1;Schleswig-Holstein;9;Dr.;von;Pinneberg;Mitglied des Deutschen Bundestages;2021
Juliane;Müller-Weigel;1989;CDU;-1;Schleswig-Holstein;10;;;Kiel;Vertriebsingenieurin im Maschinenbau;2021
Thomas;Peters;1975;CDU;-1;Schleswig-Holstein;11;Dr.;;Wentorf bei Hamburg;Jurist;2021
Bettina;Spechtmeyer-Högel;1964;CDU;-1;Schleswig-Holstein;12;;;Todendorf;Dipl.-Kauffrau, Geschäftsführerin;2021
Thomas;Stritzl;1957;CDU;-1;Schleswig-Holstein;13;;;Kiel;Rechtsanwalt;2021
Dagmar;Steiner;1964;CDU;-1;Schleswig-Holstein;14;Dr.;;Hasloh;Ärztin;2021
Timo;Gaarz;1977;CDU;-1;Schleswig-Holstein;15;;;Heiligenhafen;Dipl.-Finanzwirt (FH);2021
Ulrike;Stentzler;1962;CDU;-1;Schleswig-Holstein;16;;;Lütjensee;Kauffrau;2021
Leif Erik;Bodin;1996;CDU;-1;Schleswig-Holstein;17;;;Leck;Student;2021
Sabine;Mues;1964;CDU;-1;Schleswig-Holstein;18;;;Noer;Dipl.-Landwirtin, Agraringenieurin;2021
Lars;Kuhlmann;1976;CDU;-1;Schleswig-Holstein;19;;;Tangstedt;Projektentwickler erneuerbare Energien;2021
Britta;Röpke-Modenbach;1967;CDU;-1;Schleswig-Holstein;20;;;Westerdeichstrich;Sales Managerin Medizintechnik, geprüfte Pharmareferentin;2021
Henri;Schmidt;1983;CDU;-1;Schleswig-Holstein;21;;;Barsbüttel;ltd. Angestellter;2021
Stefanie;Rönnau;1970;CDU;-1;Schleswig-Holstein;22;Dr.;;Kiel;stellv. Geschäftsführerin, Bereichsleiterin Jobcenter;2021
Nicolas;Sölter;1988;CDU;-1;Schleswig-Holstein;23;Dr.;;Hamburg;Rechtsanwalt;2021
Lena;Grützmacher;1984;CDU;-1;Schleswig-Holstein;24;;;Tönning;Gymnasiallehrerin;2021
Tom;Matzen;1997;CDU;-1;Schleswig-Holstein;25;;;Jevenstedt;Kriminalkommissar;2021
Kerstin;Seyfert;1964;CDU;-1;Schleswig-Holstein;26;;;Pinneberg;Projektentwicklerin;2021
Jens;Junkersdorf;1980;CDU;-1;Schleswig-Holstein;27;;;Oldenburg in Holstein;Dipl.-Ingenieur, Soldat;2021
Vivien Christine Sylvia;Claussen;1988;CDU;-1;Schleswig-Holstein;28;;;Wedel;Unternehmenssprecherin;2021
Marten;Waller;1984;CDU;-1;Schleswig-Holstein;29;Dr.;;Meldorf;Rechtsanwalt;2021
Christiane;Ostermeyer;1962;CDU;-1;Schleswig-Holstein;30;;;Owschlag;Dipl.-Betriebswirtin (FH);2021
Niklas;Schwab;1994;CDU;-1;Schleswig-Holstein;31;;;Reinbek;kaufm. Angestellter;2021
Bärbel;Feddersen;1975;CDU;-1;Schleswig-Holstein;32;;;Immenstedt;Agrarbetriebswirtin;2021
Kole;Gjoka;1970;CDU;-1;Schleswig-Holstein;33;;;Elmshorn;selbstständig;2021
Jasmin Anneliese;Krause;1998;CDU;-1;Schleswig-Holstein;34;;;Henstedt-Ulzburg;Wirtschaftsinformatikerin;2021
Anna Ruth;Weidler;1965;CDU;-1;Schleswig-Holstein;35;;;Norderstedt;Verwaltungskoordinatorin;2021
Sven;Voß;1979;CDU;-1;Schleswig-Holstein;36;;;Albersdorf;geprüfter Bilanzbuchhalter;2021
Annette;Glage;1968;CDU;-1;Schleswig-Holstein;37;;;Boostedt;Schriftsetzerin, Servicekraft;2021
Daniel;Herzberger;1986;CDU;-1;Schleswig-Holstein;38;;;Averlak;techn. Mitarbeiter Logistik;2021
Sönke;Rix;1975;SPD;-1;Schleswig-Holstein;1;;;Eckernförde;Erzieher;2021
Nina;Scheer;1971;SPD;-1;Schleswig-Holstein;2;Dr.;;Geesthacht;Juristin, Politikwissenschaftlerin, Musikerin;2021
Ralf;Stegner;1959;SPD;-1;Schleswig-Holstein;3;Dr.;;Bordesholm;Politikwissenschaftler, Minister a. D.;2021
Bettina;Hagedorn;1955;SPD;-1;Schleswig-Holstein;4;;;Kasseedorf;MdB, Goldschmiedin;2021
Tim;Klüssendorf;1991;SPD;-1;Schleswig-Holstein;5;;;Lübeck;Volks- und Betriebswirt;2021
Franziska Maria;Brzezicha;1993;SPD;-1;Schleswig-Holstein;6;;;Treia;wiss. Mitarbeiterin;2021
Jens Mathias;Stein;1970;SPD;-1;Schleswig-Holstein;7;;;Kiel;Bautechniker;2021
Karin;Thissen;1960;SPD;-1;Schleswig-Holstein;8;Dr.;;Itzehoe;Tierärztin;2021
Bengt Axel;Bergt;1982;SPD;-1;Schleswig-Holstein;9;;;Norderstedt;Betriebsratsvorsitzender, techn. Übersetzer, Redakteur;2021
Dorothea;Siemers;1989;SPD;-1;Schleswig-Holstein;10;;;Sirksfelde;Studentin;2021
Jens Peter;Jensen;1953;SPD;-1;Schleswig-Holstein;11;;;Witzwort;Politikwissenschaftler;2021
