kurzbezeichnung;name;Zusatzbezeichnung
CDU;Christlich Demokratische Union Deutschlands;
SPD;Sozialdemokratische Partei Deutschlands;
AfD;Alternative für Deutschland;
FDP;Freie Demokratische Partei;
DIE LINKE;DIE LINKE;
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;
CSU;Christlich-Soziale Union in Bayern e.V.;
FREIE WÄHLER;FREIE WÄHLER;
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;
NPD;Nationaldemokratische Partei Deutschlands;
PIRATEN;Piratenpartei Deutschland;
ÖDP;Ökologisch-Demokratische Partei;
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;
DiB;DEMOKRATIE IN BEWEGUNG;
BP;Bayernpartei;
Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;
MLPD;Marxistisch-Leninistische Partei Deutschlands;
Gesundheitsforschung;Partei für Gesundheitsforschung;
MENSCHLICHE WELT;Menschliche Welt;für das Wohl und Glücklichsein aller
DKP;Deutsche Kommunistische Partei;
Die Grauen;Die Grauen – Für alle Generationen;
BüSo;Bürgerrechtsbewegung Solidarität;
Die Humanisten;Partei der Humanisten;
Gartenpartei;Gartenpartei;
du.;Die Urbane. Eine HipHop Partei;
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;
dieBasis;Basisdemokratische Partei Deutschland;
Bündnis C;Bündnis C - Christen für Deutschland;
BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel;
III. Weg;DER DRITTE WEG;
BÜNDNIS21;diePinken/BÜNDNIS21;
LIEBE;Europäische Partei LIEBE;
LKR;Liberal-Konservative Reformer;
PdF;Partei des Fortschritts;
LfK;"&gt;&gt; Partei für Kinder, Jugendliche und Familien &lt;&lt; – Lobbyisten für Kinder –";
SSW;Südschleswigscher Wählerverband;
Team Todenhöfer;Team Todenhöfer – Die Gerechtigkeitspartei;
UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;
Volt;Volt Deutschland;
Volksabstimmung;Ab jetzt…Demokratie durch Volksabstimmung;Politik für die Menschen
B*;bergpartei, die überpartei;ökoanarchistisch-realdadaistisches sammelbecken
sonstige;DIE SONSTIGEN;X
FAMILIE;Familien-Partei Deutschlands;
Graue Panther;Graue Panther;
KlimalisteBW;Klimaliste Baden-Württemberg;
THP;Thüringer Heimatpartei;
