bundesland;bevoelkerung;jahr
Schleswig-Holstein;2673803;2017
Mecklenburg-Vorpommern;1548400;2017
Hamburg;1525090;2017
Niedersachsen;7278789;2017
Bremen;568510;2017
Brandenburg;2391746;2017
Sachsen-Anhalt;2145671;2017
Berlin;2975745;2017
Nordrhein-Westfalen;15707569;2017
Sachsen;3914671;2017
Hessen;5281198;2017
Thüringen;2077901;2017
Rheinland-Pfalz;3661245;2017
Bayern;11362245;2017
Baden-Württemberg;9365001;2017
Saarland;899748;2017
Schleswig-Holstein;2659792;2021
Mecklenburg-Vorpommern;1532412;2021
Hamburg;1537766;2021
Niedersachsen;7207587;2021
Bremen;548941;2021
Brandenburg;2397701;2021
Sachsen-Anhalt;2056177;2021
Berlin;2942960;2021
Nordrhein-Westfalen;15415642;2021
Sachsen;3826905;2021
Hessen;5222158;2021
Thüringen;1996822;2021
Rheinland-Pfalz;3610865;2021
Bayern;11328866;2021
Baden-Württemberg;9313413;2021
Saarland;865191;2021
