id;vorname;nachname;geburtsjahr;partei_id;jahr
1;Petra;Nicolaisen;1965;1;2021
2;Franziska Maria;Brzezicha;1993;2;2021
3;Christoph Georgios;Anastasiadis;1995;4;2021
4;Robert;Habeck;1969;6;2021
5;Jan;Petersen-Brendel;1968;3;2021
6;Katrine;Hoop;1970;5;2021
7;Arne Olaf;Jöhnk;1978;8;2021
8;Marko;Wölbing;1982;28;2021
9;Dariush;Keshavarz Khorasgani;1994;26;2021
10;Uwe Hermann;Christiansen;1961;34;2021
11;Stefan;Seidler;1979;37;2021
12;Astrid;Damerow;1958;1;2021
13;Jens Peter;Jensen;1953;2;2021
14;Gyde;Jensen-Bornhöft;1989;4;2021
15;Denise;Loop;1994;6;2021
16;Andrej;Clasen;1990;3;2021
17;Hartmut Otto;Jensen;1960;5;2021
18;Traymont;Wilhelmi;1992;8;2021
19;Sandor;Stolz;1966;28;2021
20;Axel;Frey;1984;34;2021
21;Sybilla Lena;Nitsch;1980;37;2021
22;Mark;Helfrich;1978;1;2021
23;Karin;Thissen;1960;2;2021
24;Wolfgang;Kubicki;1952;4;2021
25;Ingrid Johanna;Nestle;1977;6;2021
26;Jan;Voigt;1954;3;2021
27;Michael;Schilke;1965;5;2021
28;Jens;Köster;1967;8;2021
29;Stefan;Habermann;1964;28;2021
30;Mark;Riemann;1967;34;2021
31;Robert;Pilgrim;1987;14;2021
32;Johann David;Wadephul;1963;1;2021
33;Sönke;Rix;1975;2;2021
34;Christine Irene;Aschenberg-Dugnus;1959;4;2021
35;Jakob;Blasel;2000;6;2021
36;Gereon;Bollmann;1953;3;2021
37;Hauke Henning;Schultz;1984;5;2021
38;Nils-Hermann;Saul;1980;9;2021
39;Bärbel;Kahlund;1964;8;2021
40;Holger;Thiesen;1954;28;2021
41;Maylis;Roßberg;2000;37;2021
42;Thomas;Stritzl;1957;1;2021
43;Jens Mathias;Stein;1970;2;2021
44;Maximilian;Mordhorst;1996;4;2021
45;Luise;Amtsberg;1984;6;2021
46;Eike Julius;Reimers;1994;3;2021
47;Lorenz Gösta;Beutin;1978;5;2021
48;Florian Gerd;Wrobel;1992;9;2021
49;Christian;Görtz;1968;8;2021
50;Karin;Zan Bi;1958;18;2021
51;Björn;Michel;1974;28;2021
52;Barbara Kristine;Müller;1958;21;2021
53;Paula Bianka;Abramik;1996;26;2021
54;Frank Marcel;Schmidt;1964;37;2021
55;Simon Martin;Wadehn;1999;40;2021
56;Melanie;Bernstein;1976;1;2021
57;Kristian;Klinck;1979;2;2021
58;Gunnar;Schulz;1976;4;2021
59;Martin;Drees;1964;6;2021
60;Alexis Leonard;Giersch;1963;3;2021
61;Gabriele Maria Margareta;Gschwind-Wiese;1962;5;2021
62;Jana;Käding;1989;9;2021
63;Manfred;Koch;1959;8;2021
64;Karina;Reiß;1974;28;2021
65;Jürgen;Joost;1956;34;2021
66;Ernst Michael;Abercron;1952;1;2021
67;Ralf;Stegner;1959;2;2021
68;Philipp;Rösch;1978;4;2021
69;Jens;Herrndorff;1969;6;2021
70;Joachim Rudi;Schneider;1972;3;2021
71;Cornelia;Möhring;1960;5;2021
72;Erkan;Inak;1987;9;2021
73;Kathrin;Arbeck;1969;8;2021
74;Beate Sabine;Lehmann;1959;28;2021
75;Rainer;Urban;1942;34;2021
76;Claudia;Edmund;1959;37;2021
77;Gero;Storjohann;1958;1;2021
78;Bengt Axel;Bergt;1982;2;2021
79;Jan;Schupp;1973;4;2021
80;Nils;Bollenbach;2000;6;2021
81;Sven;Wendorf;1972;3;2021
82;Malin;Schultz;1995;5;2021
83;Beate;Schreiber;1979;9;2021
84;Julia;Glagau;1983;8;2021
85;Claudia;Westphal;1973;28;2021
86;Ingo Adolf August;Gädechens;1960;1;2021
87;Bettina;Hagedorn;1955;2;2021
88;Jörg;Hansen;1964;4;2021
89;Jakob;Brunken;1987;6;2021
90;Uwe;Witt;1959;3;2021
91;Susanne;Spethmann;1979;5;2021
92;David Frederic;Gutzeit;2001;8;2021
93;Michael;Metzig;1964;28;2021
94;Mergim René;Schlüter;1995;48;2021
95;Thomas;Peters;1975;1;2021
96;Nina;Scheer;1971;2;2021
97;Martin;Turowski;1973;4;2021
98;Konstantin;Notz;1971;6;2021
99;Wiebke;Neumann;1974;3;2021
100;Christoph Ulrich;Hinrichs;1967;5;2021
101;Arne;Schönfelder;1970;9;2021
102;Christian;Runge;1978;8;2021
103;Matthias;Micklich;1963;28;2021
104;Peter Johannes;Schlüter;1955;21;2021
105;Claudia;Schmidtke;1966;1;2021
106;Tim;Klüssendorf;1991;2;2021
107;Heike Margit;Stegemann;1964;4;2021
108;Bruno;Hönel;1996;6;2021
109;David;Jenniches;1977;3;2021
110;Emil;Tankacheyev;2002;5;2021
111;Alexander Sebastian;Schacht;1982;9;2021
112;Gregor;Voht;1990;8;2021
113;Lüder Paul Wilhelm;Möller;1949;18;2021
114;Uta;Kemper;1960;28;2021
115;Wilfried Emil;Link;1944;21;2021
116;Jennifer;Wobusa;1992;26;2021
117;Lutz Artur Heinz;Nielsen;1958;34;2021
118;Fabio;Sánchez Copano;1996;40;2021
119;Thorsten;Kerkhoff;1969;49;2021
120;Dietrich;Monstadt;1957;1;2021
121;Steffen;Beckmann;1978;3;2021
122;Ina;Latendorf;1971;5;2021
