nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Nicolaisen;Petra;1965;CDU;1;4;Schleswig-Holstein;2021
Brzezicha;Franziska Maria;1993;SPD;1;6;Schleswig-Holstein;2021
Anastasiadis;Christoph Georgios;1995;FDP;1;6;Schleswig-Holstein;2021
Habeck;Robert;1969;GRÜNE;1;2;Schleswig-Holstein;2021
Petersen-Brendel;Jan;1968;AfD;1;;;2021
Hoop;Katrine;1970;DIE LINKE;1;3;Schleswig-Holstein;2021
Jöhnk;Arne Olaf;1978;FREIE WÄHLER;1;;;2021
Wölbing;Marko;1982;dieBasis;1;;;2021
Keshavarz Khorasgani;Dariush;1994;du.;1;3;Schleswig-Holstein;2021
Christiansen;Uwe Hermann;1961;LKR;1;2;Schleswig-Holstein;2021
Seidler;Stefan;1979;SSW;1;1;Schleswig-Holstein;2021
Damerow;Astrid;1958;CDU;2;2;Schleswig-Holstein;2021
Jensen;Jens Peter;1953;SPD;2;11;Schleswig-Holstein;2021
Jensen-Bornhöft;Gyde;1989;FDP;2;2;Schleswig-Holstein;2021
Loop;Denise;1994;GRÜNE;2;5;Schleswig-Holstein;2021
Clasen;Andrej;1990;AfD;2;;;2021
Jensen;Hartmut Otto;1960;DIE LINKE;2;;;2021
Wilhelmi;Traymont;1992;FREIE WÄHLER;2;4;Schleswig-Holstein;2021
Stolz;Sandor;1966;dieBasis;2;10;Schleswig-Holstein;2021
Frey;Axel;1984;LKR;2;8;Schleswig-Holstein;2021
Nitsch;Sybilla Lena;1980;SSW;2;3;Schleswig-Holstein;2021
Helfrich;Mark;1978;CDU;3;7;Schleswig-Holstein;2021
Thissen;Karin;1960;SPD;3;8;Schleswig-Holstein;2021
Kubicki;Wolfgang;1952;FDP;3;1;Schleswig-Holstein;2021
Nestle;Ingrid Johanna;1977;GRÜNE;3;3;Schleswig-Holstein;2021
Voigt;Jan;1954;AfD;3;;;2021
Schilke;Michael;1965;DIE LINKE;3;;;2021
Köster;Jens;1967;FREIE WÄHLER;3;;;2021
Habermann;Stefan;1964;dieBasis;3;;;2021
Riemann;Mark;1967;LKR;3;;;2021
Pilgrim;Robert;1987;V-Partei³;3;1;Schleswig-Holstein;2021
Wadephul;Johann David;1963;CDU;4;1;Schleswig-Holstein;2021
Rix;Sönke;1975;SPD;4;1;Schleswig-Holstein;2021
Aschenberg-Dugnus;Christine Irene;1959;FDP;4;3;Schleswig-Holstein;2021
Blasel;Jakob;2000;GRÜNE;4;8;Schleswig-Holstein;2021
Bollmann;Gereon;1953;AfD;4;2;Schleswig-Holstein;2021
Schultz;Hauke Henning;1984;DIE LINKE;4;;;2021
Saul;Nils-Hermann;1980;Die PARTEI;4;18;Schleswig-Holstein;2021
Kahlund;Bärbel;1964;FREIE WÄHLER;4;;;2021
Thiesen;Holger;1954;dieBasis;4;2;Schleswig-Holstein;2021
Roßberg;Maylis;2000;SSW;4;2;Schleswig-Holstein;2021
Stritzl;Thomas;1957;CDU;5;13;Schleswig-Holstein;2021
Stein;Jens Mathias;1970;SPD;5;7;Schleswig-Holstein;2021
Mordhorst;Maximilian;1996;FDP;5;4;Schleswig-Holstein;2021
Amtsberg;Luise;1984;GRÜNE;5;1;Schleswig-Holstein;2021
Reimers;Eike Julius;1994;AfD;5;5;Schleswig-Holstein;2021
Beutin;Lorenz Gösta;1978;DIE LINKE;5;2;Schleswig-Holstein;2021
Wrobel;Florian Gerd;1992;Die PARTEI;5;;;2021
Görtz;Christian;1968;FREIE WÄHLER;5;;;2021
Zan Bi;Karin;1958;MLPD;5;3;Schleswig-Holstein;2021
Michel;Björn;1974;dieBasis;5;7;Schleswig-Holstein;2021
Müller;Barbara Kristine;1958;DKP;5;1;Schleswig-Holstein;2021
Abramik;Paula Bianka;1996;du.;5;2;Schleswig-Holstein;2021
Schmidt;Frank Marcel;1964;SSW;5;6;Schleswig-Holstein;2021
Wadehn;Simon Martin;1999;Volt;5;2;Schleswig-Holstein;2021
Bernstein;Melanie;1976;CDU;6;6;Schleswig-Holstein;2021
Klinck;Kristian;1979;SPD;6;13;Schleswig-Holstein;2021
Schulz;Gunnar;1976;FDP;6;9;Schleswig-Holstein;2021
Drees;Martin;1964;GRÜNE;6;16;Schleswig-Holstein;2021
Giersch;Alexis Leonard;1963;AfD;6;;;2021
Gschwind-Wiese;Gabriele Maria Margareta;1962;DIE LINKE;6;;;2021
Käding;Jana;1989;Die PARTEI;6;;;2021
Koch;Manfred;1959;FREIE WÄHLER;6;;;2021
Reiß;Karina;1974;dieBasis;6;2;Nordrhein-Westfalen;2021
Joost;Jürgen;1956;LKR;6;1;Schleswig-Holstein;2021
Abercron;Ernst Michael;1952;CDU;7;9;Schleswig-Holstein;2021
Stegner;Ralf;1959;SPD;7;3;Schleswig-Holstein;2021
Rösch;Philipp;1978;FDP;7;5;Schleswig-Holstein;2021
Herrndorff;Jens;1969;GRÜNE;7;10;Schleswig-Holstein;2021
Schneider;Joachim Rudi;1972;AfD;7;6;Schleswig-Holstein;2021
Möhring;Cornelia;1960;DIE LINKE;7;1;Schleswig-Holstein;2021
Inak;Erkan;1987;Die PARTEI;7;4;Schleswig-Holstein;2021
Arbeck;Kathrin;1969;FREIE WÄHLER;7;5;Schleswig-Holstein;2021
Lehmann;Beate Sabine;1959;dieBasis;7;;;2021
Urban;Rainer;1942;LKR;7;6;Schleswig-Holstein;2021
Edmund;Claudia;1959;SSW;7;7;Schleswig-Holstein;2021
Storjohann;Gero;1958;CDU;8;5;Schleswig-Holstein;2021
Bergt;Bengt Axel;1982;SPD;8;9;Schleswig-Holstein;2021
Schupp;Jan;1973;FDP;8;10;Schleswig-Holstein;2021
Bollenbach;Nils;2000;GRÜNE;8;14;Schleswig-Holstein;2021
Wendorf;Sven;1972;AfD;8;8;Schleswig-Holstein;2021
Schultz;Malin;1995;DIE LINKE;8;;;2021
Schreiber;Beate;1979;Die PARTEI;8;;;2021
Glagau;Julia;1983;FREIE WÄHLER;8;2;Schleswig-Holstein;2021
Westphal;Claudia;1973;dieBasis;8;;;2021
Gädechens;Ingo Adolf August;1960;CDU;9;3;Schleswig-Holstein;2021
Hagedorn;Bettina;1955;SPD;9;4;Schleswig-Holstein;2021
Hansen;Jörg;1964;FDP;9;;;2021
Brunken;Jakob;1987;GRÜNE;9;12;Schleswig-Holstein;2021
Witt;Uwe;1959;AfD;9;1;Schleswig-Holstein;2021
Spethmann;Susanne;1979;DIE LINKE;9;4;Schleswig-Holstein;2021
Gutzeit;David Frederic;2001;FREIE WÄHLER;9;3;Schleswig-Holstein;2021
Metzig;Michael;1964;dieBasis;9;8;Schleswig-Holstein;2021
Schlüter;Mergim René;1995;EB: Schlüter 9; 9;;;2021
Peters;Thomas;1975;CDU;10;11;Schleswig-Holstein;2021
Scheer;Nina;1971;SPD;10;2;Schleswig-Holstein;2021
Turowski;Martin;1973;FDP;10;8;Schleswig-Holstein;2021
Notz;Konstantin;1971;GRÜNE;10;4;Schleswig-Holstein;2021
Neumann;Wiebke;1974;AfD;10;4;Schleswig-Holstein;2021
Hinrichs;Christoph Ulrich;1967;DIE LINKE;10;;;2021
Schönfelder;Arne;1970;Die PARTEI;10;8;Schleswig-Holstein;2021
Runge;Christian;1978;FREIE WÄHLER;10;;;2021
Micklich;Matthias;1963;dieBasis;10;;;2021
Schlüter;Peter Johannes;1955;DKP;10;7;Schleswig-Holstein;2021
Schmidtke;Claudia;1966;CDU;11;8;Schleswig-Holstein;2021
Klüssendorf;Tim;1991;SPD;11;5;Schleswig-Holstein;2021
Stegemann;Heike Margit;1964;FDP;11;7;Schleswig-Holstein;2021
Hönel;Bruno;1996;GRÜNE;11;6;Schleswig-Holstein;2021
Jenniches;David;1977;AfD;11;;;2021
Tankacheyev;Emil;2002;DIE LINKE;11;;;2021
Schacht;Alexander Sebastian;1982;Die PARTEI;11;7;Schleswig-Holstein;2021
Voht;Gregor;1990;FREIE WÄHLER;11;1;Schleswig-Holstein;2021
Möller;Lüder Paul Wilhelm;1949;MLPD;11;2;Schleswig-Holstein;2021
Kemper;Uta;1960;dieBasis;11;;;2021
Link;Wilfried Emil;1944;DKP;11;6;Schleswig-Holstein;2021
Wobusa;Jennifer;1992;du.;11;;;2021
Nielsen;Lutz Artur Heinz;1958;LKR;11;;;2021
Sánchez Copano;Fabio;1996;Volt;11;4;Schleswig-Holstein;2021
Kerkhoff;Thorsten;1969;EB: Kerkhoff 11; 11;;;2021
