wahlberechtigte;wahlkreis;jahr
200831;Rendsburg-Eckernförde;2017
176636;Steinburg – Dithmarschen Süd;2017
228471;Flensburg – Schleswig;2017
247296;Segeberg – Stormarn-Mitte;2017
174937;Plön – Neumünster;2017
238533;Pinneberg;2017
204650;Kiel;2017
186568;Nordfriesland – Dithmarschen Nord;2017
240887;Vorpommern-Rügen – Vorpommern-Greifswald I;2017
205876;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;2017
226039;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;2017
222913;Rostock – Landkreis Rostock II;2017
181522;Ostholstein – Stormarn-Nord;2017
244930;Herzogtum Lauenburg – Stormarn-Süd;2017
216800;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;2017
181638;Lübeck;2017
243543;Hamburg-Mitte;2017
212099;Mecklenburgische Seenplatte II – Landkreis Rostock III;2017
192399;Hamburg-Eimsbüttel;2017
185944;Hamburg-Altona;2017
217226;Hamburg-Nord;2017
235513;Hamburg-Wandsbek;2017
191541;Aurich – Emden;2017
222031;Hamburg-Bergedorf – Harburg;2017
235234;Unterems;2017
189344;Friesland – Wilhelmshaven – Wittmund;2017
227696;Delmenhorst – Wesermarsch – Oldenburg-Land;2017
187679;Cuxhaven – Stade II;2017
226253;Oldenburg – Ammerland;2017
220042;Cloppenburg – Vechta;2017
230151;Mittelems;2017
197297;Stade I – Rotenburg II;2017
199081;Harburg;2017
168101;Rotenburg I – Heidekreis;2017
180865;Lüchow-Dannenberg – Lüneburg;2017
193934;Diepholz – Nienburg I;2017
196136;Osterholz – Verden;2017
196720;Stadt Osnabrück;2017
194800;Nienburg II – Schaumburg;2017
199131;Osnabrück-Land;2017
193433;Stadt Hannover II;2017
214612;Celle – Uelzen;2017
232926;Hannover-Land I;2017
179883;Stadt Hannover I;2017
239923;Hannover-Land II;2017
218556;Gifhorn – Peine;2017
218349;Hildesheim;2017
187377;Hameln-Pyrmont – Holzminden;2017
192041;Braunschweig;2017
206133;Salzgitter – Wolfenbüttel;2017
176002;Prignitz – Ostprignitz-Ruppin – Havelland I;2017
202963;Goslar – Northeim – Osterode;2017
252496;Bremen I;2017
221655;Bremen II – Bremerhaven;2017
183961;Helmstedt – Wolfsburg;2017
220420;Göttingen;2017
184716;Uckermark – Barnim I;2017
226424;Märkisch-Oderland – Barnim II;2017
248708;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;2017
243108;Oberhavel – Havelland II;2017
183182;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;2017
194759;Frankfurt (Oder) – Oder-Spree;2017
178676;Cottbus – Spree-Neiße;2017
247441;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;2017
168543;Elbe-Elster – Oberspreewald-Lausitz II;2017
220786;Börde – Jerichower Land;2017
238060;Magdeburg;2017
224401;Anhalt;2017
165625;Altmark;2017
215607;Harz;2017
177005;Dessau – Wittenberg;2017
214668;Halle;2017
191636;Burgenland – Saalekreis;2017
207103;Mansfeld;2017
206706;Berlin-Mitte;2017
182398;Berlin-Reinickendorf;2017
184608;Berlin-Spandau – Charlottenburg Nord;2017
237071;Berlin-Pankow;2017
221210;Berlin-Steglitz-Zehlendorf;2017
198672;Berlin-Charlottenburg-Wilmersdorf;2017
235250;Berlin-Tempelhof-Schöneberg;2017
223427;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;2017
202618;Berlin-Neukölln;2017
205106;Berlin-Treptow-Köpenick;2017
200704;Berlin-Marzahn-Hellersdorf;2017
205300;Berlin-Lichtenberg;2017
179273;Aachen I;2017
228248;Aachen II;2017
190051;Heinsberg;2017
246753;Euskirchen – Rhein-Erft-Kreis II;2017
248982;Rhein-Erft-Kreis I;2017
199675;Düren;2017
192574;Köln I;2017
203647;Köln III;2017
240985;Köln II;2017
237415;Rhein-Sieg-Kreis I;2017
227583;Bonn;2017
212212;Leverkusen – Köln IV;2017
216020;Rhein-Sieg-Kreis II;2017
208418;Oberbergischer Kreis;2017
217425;Rheinisch-Bergischer Kreis;2017
208129;Wuppertal I;2017
222845;Solingen – Remscheid – Wuppertal II;2017
163229;Mettmann II;2017
205244;Mettmann I;2017
190552;Mönchengladbach;2017
193175;Düsseldorf II;2017
220764;Düsseldorf I;2017
214779;Neuss I;2017
201450;Krefeld I – Neuss II;2017
227423;Viersen;2017
207178;Wesel I;2017
226096;Kleve;2017
167998;Duisburg I;2017
179118;Krefeld II – Wesel II;2017
160204;Duisburg II;2017
204816;Oberhausen – Wesel III;2017
187746;Mülheim – Essen I;2017
163326;Essen II;2017
169267;Recklinghausen I;2017
192918;Essen III;2017
175210;Gelsenkirchen;2017
202793;Bottrop – Recklinghausen III;2017
202192;Steinfurt I – Borken I;2017
189376;Recklinghausen II;2017
199978;Borken II;2017
192946;Coesfeld – Steinfurt II;2017
195571;Steinfurt III;2017
232294;Münster;2017
209604;Warendorf;2017
228976;Herford – Minden-Lübbecke II;2017
246216;Bielefeld – Gütersloh II;2017
234272;Gütersloh I;2017
204203;Minden-Lübbecke I;2017
249359;Paderborn;2017
211026;Höxter – Gütersloh III – Lippe II;2017
170501;Lippe I;2017
207384;Hagen – Ennepe-Ruhr-Kreis I;2017
178506;Ennepe-Ruhr-Kreis II;2017
179247;Herne – Bochum II;2017
206460;Bochum I;2017
211316;Dortmund I;2017
197873;Unna I;2017
203300;Dortmund II;2017
235213;Hamm – Unna II;2017
232301;Soest;2017
206716;Olpe – Märkischer Kreis I;2017
202768;Hochsauerlandkreis;2017
200546;Märkischer Kreis II;2017
212912;Siegen-Wittgenstein;2017
163916;Nordsachsen;2017
227718;Leipzig II;2017
220654;Leipzig I;2017
215616;Leipzig-Land;2017
213990;Bautzen I;2017
201310;Meißen;2017
202580;Sächsische Schweiz-Osterzgebirge;2017
213021;Görlitz;2017
235464;Dresden II – Bautzen II;2017
232636;Dresden I;2017
201629;Mittelsachsen;2017
195929;Chemnitz;2017
183483;Chemnitzer Umland – Erzgebirgskreis II;2017
207606;Zwickau;2017
220917;Erzgebirgskreis I;2017
193081;Vogtlandkreis;2017
186825;Waldeck;2017
222451;Kassel;2017
188074;Schwalm-Eder;2017
175992;Werra-Meißner – Hersfeld-Rotenburg;2017
183296;Marburg;2017
217806;Gießen;2017
208744;Lahn-Dill;2017
209966;Fulda;2017
179307;Main-Kinzig – Wetterau II – Schotten;2017
220342;Rheingau-Taunus – Limburg;2017
181516;Hochtaunus;2017
176435;Wetterau I;2017
189372;Wiesbaden;2017
177469;Hanau;2017
197291;Main-Taunus;2017
199775;Frankfurt am Main I;2017
223942;Frankfurt am Main II;2017
174727;Groß-Gerau;2017
220194;Offenbach;2017
234422;Odenwald;2017
242622;Darmstadt;2017
216673;Eichsfeld – Nordhausen – Kyffhäuserkreis;2017
222558;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;2017
198418;Bergstraße;2017
203210;Jena – Sömmerda – Weimarer Land I;2017
221922;Erfurt – Weimar – Weimarer Land II;2017
