partei;wahlkreis_id;jahr;anzahl
CDU;1;2021;36421
SPD;1;2021;45508
FDP;1;2021;19189
GRÜNE;1;2021;33300
AfD;1;2021;10317
DIE LINKE;1;2021;7475
Die PARTEI;1;2021;1844
FREIE WÄHLER;1;2021;1715
HEIMAT (2021: NPD);1;2021;138
ÖDP;1;2021;132
MLPD;1;2021;12
dieBasis;1;2021;2866
DKP;1;2021;40
du.;1;2021;118
Wir Bürger (2021: LKR);1;2021;73
Die Humanisten;1;2021;157
Tierschutzpartei;1;2021;1990
SSW;1;2021;16415
Team Todenhöfer;1;2021;318
Volt;1;2021;403
V-Partei³;1;2021;194
CDU;2;2021;35511
SPD;2;2021;37926
FDP;2;2021;18350
GRÜNE;2;2021;22588
AfD;2;2021;8798
DIE LINKE;2;2021;4437
Die PARTEI;2;2021;1322
FREIE WÄHLER;2;2021;1081
HEIMAT (2021: NPD);2;2021;146
ÖDP;2;2021;121
MLPD;2;2021;26
dieBasis;2;2021;1836
DKP;2;2021;33
du.;2;2021;59
Wir Bürger (2021: LKR);2;2021;60
Die Humanisten;2;2021;130
Tierschutzpartei;2;2021;1604
SSW;2;2021;9516
Team Todenhöfer;2;2021;239
Volt;2;2021;237
V-Partei³;2;2021;125
CDU;3;2021;32842
SPD;3;2021;37468
FDP;3;2021;18492
GRÜNE;3;2021;19237
AfD;3;2021;11303
DIE LINKE;3;2021;4524
Die PARTEI;3;2021;1346
FREIE WÄHLER;3;2021;1713
HEIMAT (2021: NPD);3;2021;190
ÖDP;3;2021;105
MLPD;3;2021;25
dieBasis;3;2021;1712
DKP;3;2021;29
du.;3;2021;77
Wir Bürger (2021: LKR);3;2021;84
Die Humanisten;3;2021;118
Tierschutzpartei;3;2021;1719
SSW;3;2021;3366
Team Todenhöfer;3;2021;283
Volt;3;2021;226
V-Partei³;3;2021;250
CDU;4;2021;38517
SPD;4;2021;43148
FDP;4;2021;19322
GRÜNE;4;2021;28828
AfD;4;2021;10564
DIE LINKE;4;2021;5163
Die PARTEI;4;2021;1618
FREIE WÄHLER;4;2021;1174
HEIMAT (2021: NPD);4;2021;158
ÖDP;4;2021;122
MLPD;4;2021;33
dieBasis;4;2021;2375
DKP;4;2021;23
du.;4;2021;69
Wir Bürger (2021: LKR);4;2021;49
Die Humanisten;4;2021;136
Tierschutzpartei;4;2021;1728
SSW;4;2021;7304
Team Todenhöfer;4;2021;244
Volt;4;2021;253
V-Partei³;4;2021;127
CDU;5;2021;23920
SPD;5;2021;40338
FDP;5;2021;16110
GRÜNE;5;2021;44089
AfD;5;2021;7654
DIE LINKE;5;2021;9430
Die PARTEI;5;2021;2185
FREIE WÄHLER;5;2021;954
HEIMAT (2021: NPD);5;2021;122
ÖDP;5;2021;116
MLPD;5;2021;39
dieBasis;5;2021;1924
DKP;5;2021;88
du.;5;2021;114
Wir Bürger (2021: LKR);5;2021;50
Die Humanisten;5;2021;299
Tierschutzpartei;5;2021;1676
SSW;5;2021;4486
Team Todenhöfer;5;2021;747
Volt;5;2021;556
V-Partei³;5;2021;171
CDU;6;2021;30290
SPD;6;2021;38670
FDP;6;2021;15901
GRÜNE;6;2021;23051
AfD;6;2021;9741
DIE LINKE;6;2021;4232
Die PARTEI;6;2021;1300
FREIE WÄHLER;6;2021;1275
HEIMAT (2021: NPD);6;2021;242
ÖDP;6;2021;94
MLPD;6;2021;23
dieBasis;6;2021;2007
DKP;6;2021;34
du.;6;2021;70
Wir Bürger (2021: LKR);6;2021;94
Die Humanisten;6;2021;111
Tierschutzpartei;6;2021;1446
SSW;6;2021;3203
Team Todenhöfer;6;2021;415
Volt;6;2021;230
V-Partei³;6;2021;98
CDU;7;2021;42057
SPD;7;2021;55693
FDP;7;2021;25663
GRÜNE;7;2021;34291
AfD;7;2021;13080
DIE LINKE;7;2021;6363
Die PARTEI;7;2021;1805
FREIE WÄHLER;7;2021;1731
HEIMAT (2021: NPD);7;2021;188
ÖDP;7;2021;202
MLPD;7;2021;21
dieBasis;7;2021;2389
DKP;7;2021;59
du.;7;2021;127
Wir Bürger (2021: LKR);7;2021;108
Die Humanisten;7;2021;182
Tierschutzpartei;7;2021;2320
SSW;7;2021;2527
Team Todenhöfer;7;2021;799
Volt;7;2021;457
V-Partei³;7;2021;208
CDU;8;2021;44285
SPD;8;2021;56658
FDP;8;2021;27675
GRÜNE;8;2021;33361
AfD;8;2021;14527
DIE LINKE;8;2021;6468
Die PARTEI;8;2021;2226
FREIE WÄHLER;8;2021;2297
HEIMAT (2021: NPD);8;2021;225
ÖDP;8;2021;194
MLPD;8;2021;30
dieBasis;8;2021;2839
DKP;8;2021;54
du.;8;2021;119
Wir Bürger (2021: LKR);8;2021;53
Die Humanisten;8;2021;186
Tierschutzpartei;8;2021;2663
SSW;8;2021;3108
Team Todenhöfer;8;2021;586
Volt;8;2021;509
V-Partei³;8;2021;202
CDU;9;2021;35564
SPD;9;2021;42520
FDP;9;2021;17986
GRÜNE;9;2021;22314
AfD;9;2021;10073
DIE LINKE;9;2021;4036
Die PARTEI;9;2021;1104
FREIE WÄHLER;9;2021;1603
HEIMAT (2021: NPD);9;2021;198
ÖDP;9;2021;102
MLPD;9;2021;13
dieBasis;9;2021;1691
DKP;9;2021;28
du.;9;2021;65
Wir Bürger (2021: LKR);9;2021;29
Die Humanisten;9;2021;88
Tierschutzpartei;9;2021;1729
SSW;9;2021;2241
Team Todenhöfer;9;2021;182
Volt;9;2021;289
V-Partei³;9;2021;111
CDU;10;2021;45364
SPD;10;2021;56422
FDP;10;2021;27725
GRÜNE;10;2021;32475
AfD;10;2021;14682
DIE LINKE;10;2021;6325
Die PARTEI;10;2021;1791
FREIE WÄHLER;10;2021;2204
HEIMAT (2021: NPD);10;2021;261
ÖDP;10;2021;217
MLPD;10;2021;29
dieBasis;10;2021;2237
DKP;10;2021;82
du.;10;2021;105
Wir Bürger (2021: LKR);10;2021;48
Die Humanisten;10;2021;160
Tierschutzpartei;10;2021;2283
SSW;10;2021;1746
Team Todenhöfer;10;2021;829
Volt;10;2021;447
V-Partei³;10;2021;155
CDU;11;2021;23628
SPD;11;2021;39704
FDP;11;2021;13626
GRÜNE;11;2021;29229
AfD;11;2021;8827
DIE LINKE;11;2021;5785
Die PARTEI;11;2021;1329
FREIE WÄHLER;11;2021;1296
